"data_type";"title";"description";"street";"postal";"district";"long";"lat"
"akaartlocatie";"Museum Plantin-Moretus / Prentenkabinet";"musea";"Vrijdagmarkt 22-23";"2000";"Antwerpen";;
"akaartlocatie";"Museum Mayer van den Bergh";"musea";"Lange Gasthuisstraat 19";"2000";"Antwerpen";;
"akaartlocatie";"AMVC-Letterenhuis";"musea";"Minderbroedersstraat 22";"2000";"Antwerpen";;
"akaartlocatie";"Rubenshuis";"musea";"Wapper 9-11";"2000";"Antwerpen";;
"akaartlocatie";"Museum Vleeshuis";"musea";"Vleeshouwersstraat 38";"2000";"Antwerpen";;
"akaartlocatie";"Erfgoedbibliotheek Hendrik Conscience";"musea";"Korte Nieuwstraat null";"2000";"Antwerpen";;
"akaartlocatie";"MAS";"musea";"Hanzestedenplaats 1";"2000";"Antwerpen";;
"akaartlocatie";"MoMu";"musea";"Nationalestraat 28";"2000";"Antwerpen";;
"akaartlocatie";"co Sint-Andries";"cultuurcentra";"Sint-Andriesplaats 24";"2000";"Antwerpen";;
"akaartlocatie";"AMUZ";"cultuurcentra";"Kammenstraat 81";"2000";"Antwerpen";;
"akaartlocatie";"Bibliotheek Andries";"bibliotheken";"Sint-Andriesplaats 22";"2000";"Antwerpen";;
"akaartlocatie";"het stadsmagazijn";"ontmoetingscentra";"keistraat 5-7";"2000";"Antwerpen";;
"akaartlocatie";"stadswinkel";"Geen";"Grote Markt 11";"2000";"Antwerpen";;
"akaartlocatie";"Olympisch Zwembad Wezenberg";"Zwembaden & Sport";"Desguinlei 17-19";"2018";"Antwerpen";;
"akaartlocatie";"Bibliotheek Brederode";"bibliotheken";"Brederodestraat 119";"2018";"Antwerpen";;
"akaartlocatie";"ZOO Antwerpen";"geen";"Koningin Astridplein 26";"2018";"Antwerpen";;
"akaartlocatie";"CC de Schelde";"cultuurcentra";"De Keyserhoeve 66";"2040";"Zandvliet";;
"akaartlocatie";"Bibliotheek Viswater";"bibliotheken";"Tongerlostraat 2";"2040";"Berendrecht";;
"akaartlocatie";"Bibliotheek Elsschot";"bibliotheken";"Willem Elsschotstraat 5";"2050";"Antwerpen";;
"akaartlocatie";"Top Hat";"ontmoetingscentra";"Dwarslaan 9";"2050";"Antwerpen";;
"akaartlocatie";"Zwembad Veldstraat";"Zwembaden & Sport";"Veldstraat 83";"2060";"Antwerpen";;
"akaartlocatie";"Bibliotheek Permeke";"bibliotheken";"De Coninckplein 26";"2060";"Antwerpen";;
"akaartlocatie";"Atlas";"ontmoetingscentra";"carnotstraat 110";"2060";"antwerpen";;
"akaartlocatie";"het oude badhuis";"ontmoetingscentra";"stuivenbergplein 38";"2060";"Antwerpen";;
"akaartlocatie";"Zwembad Arena";"Zwembaden & Sport";"GabriÃ«l Vervoortstraat 8";"2100";"Deurne";;
"akaartlocatie";"CC Deurne";"cultuurcentra";"Frans Messingstraat 36";"2100";"Deurne";;
"akaartlocatie";"CC Deurne RIX";"cultuurcentra";"de Gryspeerstraat 86";"2100";"Deurne";;
"akaartlocatie";"Bibliotheek Arena";"bibliotheken";"Arenaplein 62";"2100";"Deurne";;
"akaartlocatie";"Bibliotheek Couwelaar";"bibliotheken";"Te Couwelaarlei 120";"2100";"Deurne";;
"akaartlocatie";"Deurne zuid Den Tip";"jeugddiensten";"Van Den Hautelei 79";"2100";"Deurne";;
"akaartlocatie";"Zwembad Plantin Moretus";"Zwembaden & Sport";"Plantin en Moretuslei 343";"2140";"Borgerhout";;
"akaartlocatie";"CC Borgerhout/De Roma";"cultuurcentra";"Turnhoutsebaan 327";"2140";"Borgerhout";;
"akaartlocatie";"Bibliotheek Vredegerecht";"bibliotheken";"Turnhoutsebaan 92";"2140";"Borgerhout";;
"akaartlocatie";"Ecohuis";"Geen";"Turnhoutsebaan 139";"2140";"borgerhout";;
"akaartlocatie";"Zwembad Groenenhoek";"Zwembaden & Sport";"Orpheusplein 1";"2600";"Berchem";;
"akaartlocatie";"CC Berchem";"cultuurcentra";"Driekoningenstraat 126";"2600";"Berchem";;
"akaartlocatie";"Bibliotheek De Poort";"bibliotheken";"Willem van Laarstraat 15-17";"2600";"Berchem";;
"akaartlocatie";"Bibliotheek Groenenhoek";"bibliotheken";"Turkooisstraat 18";"2600";"Berchem";;
"akaartlocatie";"CC Luchtbal";"cultuurcentra";"Columbiastraat 110";"2030";"Antwerpen";;
"akaartlocatie";"CC Luchtbal";"cultuurcentra";"Columbiastraat 8";"2030";"Antwerpen";;
"akaartlocatie";"Bibliotheek Luchtbal";"bibliotheken";"Columbiastraat 110";"2030";"Antwerpen";;
"akaartlocatie";"Zwembad Park van Merksem";"Zwembaden & Sport";"Van Heybeeckstraat 9";"2170";"Merksem";;
"akaartlocatie";"CC Merksem";"cultuurcentra";"Bredabaan 561";"2170";"Merksem";;
"akaartlocatie";"CC Merksem";"cultuurcentra";"Nieuwdreef 135";"2170";"Merksem";;
