"district";"inkomen_2005";"inkomen_2006";"inkomen_2007";"inkomen_2008";"inkomen_2009";"district_code"
"antwerpen";"15328";"15596";"15978";"17008";"17178";"AN"
"berendrecht-zandvliet";"21064";"21386";"22047";"23253";"23926";"BZ"
"ekeren";"21197";"21535";"22229";"23243";"23819";"EK"
"merksem";"18860";"19257";"19585";"20611";"21041";"ME"
"hoboken";"19039";"19549";"20008";"20926";"21341";"HO"
"wilrijk";"19993";"20486";"20851";"21794";"22332";"WI"
"berchem";"17808";"18221";"18799";"19849";"20322";"BE"
"borgerhout";"16682";"16862";"16775";"17348";"17678";"BO"
"deurne";"18805";"19100";"19147";"19727";"20010";"DE"
"onbekend";"13301";"11973";"8550";"10803";"12395";""
