"data_type";"title";"description";"street";"postal";"district";"long";"lat"
"districtshuis";"Districtshuis Wilrijk (tijdelijk)";;"doornstraat 3C";"2610";"Wilrijk";"4.3970874850000428";"51.168626429000028"
"districtshuis";"Districtshuis Wilrijk (in verbouwing)";;"bist 1";"2610";"Wilrijk";"4.3942868020000674";"51.169365249000066"
"districtshuis";"Districtshuis Merksem";;"burgemeester jozef nolfplein 1";"2170";"Merksem";"4.441642133000073";"51.242071444000032"
"districtshuis";"Districtshuis Hoboken";;"marneflaan 3";"2660";"Hoboken";"4.3532597970000211";"51.170999231000053"
"districtshuis";"Districtshuis Ekeren";;"veltwijcklaan 27";"2180";"Ekeren";"4.424548843000025";"51.276393413000051"
"districtshuis";"Districtshuis Deurne";;"maurice dequeeckerplein 1";"2100";"Deurne";"4.4597840000000701";"51.218632521000075"
"districtshuis";"Districtshuis Borgerhout";;"moorkensplein 1";"2140";"Borgerhout";"4.4335213430000522";"51.213596470000027"
"districtshuis";"Districtshuis Berendrecht-Zandvliet-Lillo";;"antwerpsebaan 140-142";"2040";"Bezali";"4.3217508880000537";"51.344214835000059"
"districtshuis";"Districtshuis Berchem";;"grotesteenweg 150";"2600";"Berchem";"4.419652597000038";"51.195244291000051"
"districtshuis";"Districtshuis Antwerpen";;"lange gasthuisstraat 21";"2000";"Antwerpen";"4.4058492220000289";"51.215493590000051"
