"data_type";"title";"description";"street";"postal";"district";"long";"lat"
"groenzone";"Plantentuin";"Antwerpen heeft een prachtige plantentuin. In deze groene oase, die zich in het centrum van de stad bevindt, vindt u een bijzondere collectie planten.";;;;"4.4071164";"51.2141257"
"groenzone";"Albertpark/Harmonie";"Het Albertpark/Harmonie is de perfecte plaats om even uit te blazen in het centrum van de stad. Of om te picknicken, te voetballen of te genieten van het mooie weer.";"Koning Albertparkweg";"2018";"Antwerpen";"4.4127163";"51.1987238"
"groenzone";"Meerlenhof";"Het park Meerlenhof is gelegen in het centrum van Hoboken. Het park is omsloten door bebouwingen en heeft vier zijden: Meerlenhoflaan, Broydenborglaan, Lijsterlaan en Nachtegalenlaan.";"Meerlenhoflaan";"2060";"Antwerpen";"4.3561500";"51.1724200"
"groenzone";"Kielpark";"Het Kielpark is een belangrijke groene ruimte in deze woonwijk. De stad investeert, verspreid over enkele jaren, in de heraanleg van het park. Het Kielpark ziet er steeds aantrekkelijker uit voor jong en oud.";"Jacob le Mairestraat";"2020";"Antwerpen";"4.3797208";"51.1913225"
"groenzone";"Domein Hertoghe";"Domein Hertoghe is een klein wandelparkje met eeuwenoude bomen, waaronder een moerbeiboom.";;;;"4.4011096";"51.1948394"
"groenzone";"Mastvest";"In dit park vinden we een grote vijver met veel monumentale bruggen. Er zijn veel grasvelden om te ontspannen en prachtige bomen om te bewonderen.";;;;"4.3934573";"51.1929292"
"groenzone";"Nachtegalenpark";"Tijdens het weekend en zonnige feestdagen genieten vele Antwerpenaars van het Nachtegalenpark, een verzamelnaam voor de parken Vogelzang, Den Brandt, het Middelheim en Hortiflora.";"Beukenlaan 16";"2020";"Antwerpen";"4.4074693";"51.1826000"
"groenzone";"Vogelzang";"Vogelzang is een echt familiepark. U kan er genieten van prachtige bomen en de natuur langs de vele wandelpaden. Voor de kinderen zijn de grote speeltuin en het dierenpark een echte topper. Genieten van de zon kan op de vele grasvelden. Voor een hapje en een drankje kan u terecht in Ã©Ã©n van de horecazaken aan het park.";"Beukenlaan 12";"2020";"Antwerpen";"4.4063777";"51.1841080"
"groenzone";"Den Brandt";"Voor vele Antwerpenaars is het park Den Brandt een unieke plek om te wandelen of te joggen. Elk jaar wordt in het park ÂJazz MiddelheimÂ georganiseerd. Een begrip voor jazzliefhebbers en tegelijk een festival voor heel de familie.";"Beukenlaan 18";"2020";"Antwerpen";"4.4080219";"51.1818480"
"groenzone";"Hortiflora";"De Hortiflora of bloementuin vormt een eigenzinnig onderdeel binnen het Nachtegalenpark. De veelzijdige bloemen- en plantencollectie geeft aan de fervente tuinliefhebber voldoende inspiratie voor zijn eigen tuin. U vindt er meer dan 600 soorten en variÃ«teiten.";"Beukenlaan";"2020";"Antwerpen";"4.4083159";"51.1814771"
"groenzone";"Middelheimpark";"In het Middelheimpark kan u meer dan 300 beeldhouwwerken bewonderen. In 1950 organiseerde de stad Antwerpen een internationale openluchttentoonstelling voor beeldhouwkunst. Dit werd zoÂn groot succes dat men besloot om in het prachtige park permanent beelden tentoon te stellen.";;;;"4.4141557";"51.1820738"
"groenzone";"Stadspark";"Het stadspark is een ideale plek om te wandelen. Sportievelingen kunnen er joggen en kinderen kunnen zich uitleven in de vernieuwde speeltuin. Bij jongeren valt vooral het skatepark in de smaak.";;;;"4.4164409";"51.2125948"
"groenzone";"Spoor Noord";"Park Spoor Noord is een park om te spelen en te sporten, om rustig te fietsen of te wandelen en met vrienden en familie te picknicken onder de bomen of op de grote grasweiden. De twee heerlijke speelfonteinen en de avontuurlijke speeltuinen zijn absolute toppers voor de kinderen.";;;;"4.4224431";"51.2304765"
"groenzone";"Scheldewandeling";"Langs de linkeroever van de Schelde kan u meer dan drie kilometer in het groen wandelen met een prachtig zicht op de haven en de stad. De uitgestrekte boeienweide en speeltuin zijn niet alleen bij bewoners van de Linkeroever erg in trek.";;;;"4.3917171";"51.2291608"
