"data_type";"title";"description";"street";"postal";"district";"long";"lat"
"hondenloopzone";"kleinesteenweg";;"kleinesteenweg";"2610";"wilrijk";"4.3883937530000594";"51.170050677000063"
"hondenloopzone";"overwinningstraat";;"overwinningstraat";"2610";"wilrijk";"4.3921259390000387";"51.175218031000043"
"hondenloopzone";"cooperatielaan";;"cooperatielaan";"2660";"hoboken";"4.3681363220000549";"51.176235463000069"
"hondenloopzone";"apollostraat";;"apollostraat";"2600";"berchem";"4.44588727200005";"51.198827554000047"
"hondenloopzone";"columbiastraat (tussen de langblokken)";;"columbiastraat";"2030";"antwerpen";"4.4206972790000236";"51.254041345000076"
"hondenloopzone";"laarsebaan";;"laarsebaan";"2170";"merksem";"4.4378943030000642";"51.26063229500005"
"hondenloopzone";"camille huysmanslaan / boomsesteenweg";;"camille huysmanslaan";"2020";"antwerpen";"4.387063142000045";"51.189994712000043"
"hondenloopzone";"luisbekelaar";;"luisbekelaar";"2600";"berchem";"4.4443988670000749";"51.205752897000082"
"hondenloopzone";"lumbeeckstraat";;"lumbeeckstraat";"2660";"hoboken";"4.3433694400000604";"51.176321066000071"
"hondenloopzone";"waterhoenlaan";;"waterhoenlaan";"2050";"antwerpen";"4.3821108760000698";"51.220732754000039"
"hondenloopzone";"prinses josãphine charlottelaan";;"prinses josãphine charlottelaan";"2600";"berchem";"4.4231651190000321";"51.181398050000041"
"hondenloopzone";"vlaamsekaai/waalsekaai";;"vlaamsekaai";"2000";"antwerpen";"4.3878384010000673";"51.207805954000037"
"hondenloopzone";"runcvoortpark";;"terlindenhofstraat";"2170";"merksem";"4.441726999000025";"51.247324766000077"
"hondenloopzone";"gallifort/ tov bisschoppenhof";;"gallifortlei";"2100";"deurne";"4.4683127400000444";"51.229868975000045"
"hondenloopzone";"aartselaarstraat";;"aartselaarstraat";"2660";"hoboken";"4.3633413450000376";"51.176468169000032"
"hondenloopzone";"krugerpark";;"krugerpark";"2140";"borgerhout";"4.4407433470000228";"51.216427846000045"
"hondenloopzone";"tweekronenstraat/ ekerseveldslagstraat";;"ekerseveldslagstraat";"2030";"antwerpen";"4.4085510230000295";"51.281285720000028"
"hondenloopzone";"vinãottestraat";;"vinãottestraat";"2140";"borgerhout";"4.4375912420000532";"51.215779409000049"
"hondenloopzone";"hof van tichelen";;"hof van tichelen";"2020";"antwerpen";"4.3866832030000751";"51.182036169000071"
"hondenloopzone";"pater strackestraat";;"pater strackestraat";"2030";"antwerpen";"4.4152265450000527";"51.269643169000062"
"hondenloopzone";"wanninkhovelaan";;"wanninkhovelaan";"2610";"wilrijk";"4.3913097560000551";"51.155125841000029"
"hondenloopzone";"de nelisplein";;"de nelisplein";"2020";"antwerpen";"4.3898468940000726";"51.191813860000082"
"hondenloopzone";"ten eeckhovelei";;"ten eeckhovelei";"2100";"deurne";"4.450272367000025";"51.224040740000078"
"hondenloopzone";"taxandriastraat";;"taxandriastraat";"2170";"merksem";"4.4344741330000375";"51.23971630300008"
"hondenloopzone";"winterling";;"winterling";"2170";"merksem";"4.428395460000047";"51.239753772000029"
"hondenloopzone";"hendrik van boutersemstraat";;"hendrik van boutersemstraat";"2170";"merksem";"4.4289369580000653";"51.250302637000061"
"hondenloopzone";"strijdhoflaan";;"strijdhoflaan";"2600";"berchem";"4.4267966130000218";"51.184689356000035"
"hondenloopzone";"karel coggestraat";;"karel coggestraat";"2600";"berchem";"4.4335061560000213";"51.19417827500007"
"hondenloopzone";"prelatenstraat/dorpstraat";;"prelatenstraat";"2040";"berendrecht";"4.3122181760000444";"51.345922655000038"
"hondenloopzone";"kruisbos/g. damaesstraat";;"kruisbos";"2040";"berendrecht";"4.3304295290000709";"51.346405861000051"
"hondenloopzone";"villegaspark";;"uitbreidingstraat";"2600";"berchem";"4.4262524130000429";"51.195020948000035"
"hondenloopzone";"zandvlietse dorpstraat";;"zandvlietse dorpstraat";"2040";"zandvliet";"4.3030604080000217";"51.355740841000056"
"hondenloopzone";"hagelberg";;"hagelberg";"2040";"berendrecht";"4.3275298900000507";"51.345073312000068"
"hondenloopzone";"dordrechtlaan";;"dordrechtlaan";"2100";"deurne";"4.4595785730000443";"51.204575773000045"
"hondenloopzone";"hof ter lo";;"hof ter lo";"2140";"borgerhout";"4.4484289300000341";"51.22064247000003"
"hondenloopzone";"lange bremstraat";;"lange bremstraat";"2170";"merksem";"4.456943347000049";"51.256988723000063"
"hondenloopzone";"wijgaardberg";;"wijgaardberg";"2170";"merksem";"4.4335186470000281";"51.245373103000077"
"hondenloopzone";"druivenstraat";;"druivenstraat";"2610";"wilrijk";"4.4025513200000432";"51.171941967000066"
"hondenloopzone";"gemzenstraat";;"gemzenstraat";"2610";"wilrijk";"4.4212996900000689";"51.174643346000039"
"hondenloopzone";"viide-olympiadelaan";;"viide-olympiadelaan";"2020";"antwerpen";"4.3816904550000686";"51.183228296000038"
"hondenloopzone";"campiniastraat";;"campiniastraat";"2170";"merksem";"4.4346021110000606";"51.240249121000033"
"hondenloopzone";"frans van dunlaan";;"frans van dunlaan";"2610";"wilrijk";"4.4291721700000721";"51.173389403000044"
"hondenloopzone";"moerelei";;"moerelei";"2610";"wilrijk";"4.3822408980000205";"51.163786779000077"
"hondenloopzone";"sint-camillusstraat";;"sint-camillusstraat";"2610";"wilrijk";"4.396100772000068";"51.170862256000078"
"hondenloopzone";"meloenstraat";;"meloenstraat";"2060";"antwerpen";"4.4328007400000615";"51.227205851000065"
"hondenloopzone";"kielpark";;"kielpark";"2020";"antwerpen";"4.3870021690000272";"51.191781502000026"
"hondenloopzone";"spoornoord (oost)";;"spoornoord";"2060";"antwerpen";"4.4308944970000539";"51.228902258000062"
"hondenloopzone";"koning albertpark";;"koning albertparkweg";"2018";"antwerpen";"4.4126293660000329";"51.20092500800007"
"hondenloopzone";"spoornoord (west)";;"spoornoord";"2060";"antwerpen";"4.4180024810000305";"51.230696013000056"
"hondenloopzone";"reinaartlaan";;"reinaartlaan";"2050";"antwerpen";"4.3857860510000251";"51.227670826000065"
"hondenloopzone";"turnhousebaan/gravinstraat";;"turnhoutsebaan";"2140";"borgerhout";"4.4442938580000373";"51.21505047200003"
"hondenloopzone";"potvlietlaan";;"potvlietlaan";"2600";"berchem";"4.4427496150000252";"51.203895442000032"
"hondenloopzone";"rodekruislaan";;"rodekruislaan";"2600";"berchem";"4.4381502340000338";"51.201041100000054"
"hondenloopzone";"verenigde natieslaan";;"verenigde natieslaan";"2660";"hoboken";"4.3534051160000331";"51.164139756000054"
"hondenloopzone";"hof ter heyde- in het park";;"hof ter heyde";"2170";"merksem";"4.4633922060000373";"51.251792217000059"
"hondenloopzone";"thomas greshamstraat";;"thomas greshamstraat";"2030";"antwerpen";"4.4078959640000335";"51.271239754000078"
"hondenloopzone";"oude hofstraat/koolhofstraat";;"oude hofstraat";"2610";"wilrijk";"4.382934126000066";"51.175735031000045"
"hondenloopzone";"alfons de cockstraat (plein)";;"alfons de cockstraat";"2020";"antwerpen";"4.3739322350000407";"51.189562572000057"
"hondenloopzone";"bosuilplein";;"bosuilplein";"2100";"deurne";"4.4629789290000303";"51.229559996000035"
"hondenloopzone";"het prieel";;"het prieel";"2600";"berchem";"4.4430185900000652";"51.18825662100005"
"hondenloopzone";"ganzemate/distelhoek";;"ganzemate";"2170";"merksem";"4.42803688500004";"51.253398785000059"
"hondenloopzone";"heirmanstraat";;"heirmanstraat";"2170";"merksem";"4.4416270330000316";"51.238331966000032"
"hondenloopzone";"drakenhof";;"mortselsesteenweg";"2100";"deurne";"4.4698038520000409";"51.197236029000067"
"hondenloopzone";"van couwervenstraat";;"van couwervenstraat";"2040";"berendrecht";"4.3262948870000741";"51.342897483000058"
"hondenloopzone";"bremweide";;"bisschoppenhoflaan";"2100";"deurne";"4.4808932070000651";"51.233868270000073"
"hondenloopzone";"stuivenbergplein";;"stuivenbergplein";"2060";"antwerpen";"4.4290081590000341";"51.226434597000036"
"hondenloopzone";"eglantierlaan";;"eglantierlaan";"2020";"antwerpen";"4.3991575560000342";"51.185244166000075"
"hondenloopzone";"boekenberglei";;"boekenberglei";"2100";"deurne";"4.4581827680000288";"51.194259363000072"
"hondenloopzone";"vogelzanglaan";;"vogelzanglaan";"2020";"antwerpen";"4.4014733700000761";"51.188449241000058"
"hondenloopzone";"gravenlaan";;"gravenlaan";"2180";"ekeren";"4.4437226040000724";"51.277924551000069"
"hondenloopzone";"hof de bist";;"hof de bist";"2180";"ekeren";"4.4411832580000237";"51.285361391000038"
"hondenloopzone";"lodewijk de raetstraat";;"lodewijk de raetstraat";"2020";"antwerpen";"4.372199265000063";"51.191614145000074"
"hondenloopzone";"haspengouwstraat";;"haspengouwstraat";"2660";"hoboken";"4.3614050120000343";"51.183503406000057"
"hondenloopzone";"desguinlei";;"singel";"2018";"antwerpen";"4.3938411600000222";"51.196923865000031"
