"data_type";"title";"description";"street";"postal";"district";"long";"lat"
"kinderopvang";"Okidoki";;"Richard Baseleerstraat 113";"2020";"Antwerpen";"4.3807348";"51.1903215"
"kinderopvang";"Zonnetje Linkeroever";;"Frederik Van Edenplein 3A";"2050";"Antwerpen";"4.3871927";"51.2239265"
"kinderopvang";"OZ Kinderpret";;"Herentalsebaan 209";"2100";"Deurne";"4.4620233";"51.2088577"
"kinderopvang";"Zonnetje Deurne \'De Pientere Piste\'";;"Ruggeveldlaan 498";"2100";"Deurne";"4.4820133";"51.2173210"
"kinderopvang";"\'t Prinsesje";;"Sint-Antoniusstraat 19";"2000";"Antwerpen";"4.4002542";"51.2157785"
"kinderopvang";"De VoorZorg Kinderdagverblijf Antwerpen";;"Van der Sweepstraat 12";"2000";"Antwerpen";"4.3857112";"51.2068150"
"kinderopvang";"\'t Valaartuintje";;"Letterkundestraat 171";"2610";"Wilrijk";"4.3752580";"51.1779672"
"kinderopvang";"Sint-Jozef";;"Mauroystraat 56";"2660";"Hoboken";"4.3596925";"51.1804010"
"kinderopvang";"Speelhuis Elief";;"Sint-Lambertusstraat 58";"2600";"Berchem";"4.4203266";"51.1983018"
"kinderopvang";"Sint-Joanna";;"Walemstraat 19";"2600";"Berchem";"4.4194892";"51.1973689"
"kinderopvang";"Sint-Teresia";;"Geluwestraat 2A";"2600";"Berchem";"4.4422212";"51.1952090"
"kinderopvang";"\'t Elandje";;"Kruishofstraat 301";"2610";"Wilrijk";"4.3917245";"51.1812741"
"kinderopvang";"Parkvilla";;"Speelpleinstraat 61";"2170";"Merksem";"4.4467976";"51.2497248"
"kinderopvang";"De Meere";;"Corneel Van Reethstraat 14";"2600";"Berchem";"4.4386637";"51.1982014"
"kinderopvang";"De Zeppelin";;"Ramskapellestraat 43";"2600";"Berchem";"4.4465396";"51.1944140"
"kinderopvang";"De Speelboom";;"Reuzenpoort 5";"2140";"Borgerhout";"4.4324646";"51.2149172"
"kinderopvang";"Merlijn";;"Drossaardstraat 19";"2140";"Borgerhout";"4.4398194";"51.2186890"
"kinderopvang";"De Duveltjes";;"Sint-Joannes Berchmansstraat 15-17";"2170";"Merksem";"4.4463582";"51.2410119"
"kinderopvang";"\'t Kinderkasteeltje";;"Herentalsebaan 383";"2100";"Deurne";"4.4691072";"51.2061608"
"kinderopvang";"Trottinet";;"Frans Messingstraat 38";"2100";"Deurne";"4.4683518";"51.2267933"
"kinderopvang";"Calimero";;"Schoenstraat 79";"2140";"Borgerhout";"4.4361440";"51.2131503"
"kinderopvang";"Pinokkio";;"Schotensesteenweg 138";"2100";"Deurne";"4.4806896";"51.2219349"
"kinderopvang";"Sint-Bernadette";;"Frans Van Heymbeecklaan 7";"2100";"Deurne";"4.4797253";"51.2281616"
"kinderopvang";"\'t Beukennootje";;"Maarschalk Montgomerylaan 15";"2100";"Deurne";"4.4670892";"51.1984613"
"kinderopvang";"Kiekeboe";;"Van Duyststraat 246";"2100";"Deurne";"4.4485426";"51.2319772"
"kinderopvang";"Kornuit";;"Corneel Franckstraat 33";"2100";"Deurne";"4.4744107";"51.2071516"
"kinderopvang";"Piepeloere";;"Waasdonk 155";"2100";"Deurne";"4.4730249";"51.1931157"
"kinderopvang";"\'t Stampertje";;"Offerandestraat 60";"2060";"Antwerpen";"4.4255811";"51.2204161"
"kinderopvang";"Baloe";;"Tweegezusterslaan 96";"2100";"Deurne";"4.4769702";"51.2280945"
"kinderopvang";"Kinderpaleis";;"Van Dornestraat 131";"2100";"Deurne";"4.4490095";"51.2299793"
"kinderopvang";"De Speelvogel";;"Sint-Gummarusstraat 2";"2060";"Antwerpen";"4.4189117";"51.2246723"
"kinderopvang";"Deugniet";;"Wilgenstraat 4";"2060";"Antwerpen";"4.4277993";"51.2253399"
"kinderopvang";"Het Zonnetje";;"Pioniersstraat 35";"2060";"Antwerpen";"4.4272898";"51.2247807"
"kinderopvang";"Janneke Maan";;"Hanegraefstraat 15";"2050";"Antwerpen";"4.3806281";"51.2191939"
"kinderopvang";"Bethlehem vzw";;"Lange Zavelstraat 62";"2060";"Antwerpen";"4.4274572";"51.2227723"
"kinderopvang";"Brabbel";;"Regentstraat 9";"2060";"Antwerpen";"4.4278252";"51.2198410"
"kinderopvang";"Schoonbroek";;"Groot Hagelkruis 165";"2030";"Antwerpen";"4.4091147";"51.2740493"
"kinderopvang";"Neuze-Neuze";;"Kleine Bredestraat 2A";"2040";"Berendrecht";"4.3217174";"51.3454770"
"kinderopvang";"De Kleine Strandloper";;"Willem Van Haechtlaan 66";"2050";"Antwerpen";"4.3855419";"51.2300605"
"kinderopvang";"De Regenboog";;"Dokter Decrolystraat 2";"2030";"Antwerpen";"4.4226874";"51.2577605"
"kinderopvang";"Knuffel";;"Columbiastraat 231";"2030";"Antwerpen";"4.4230191";"51.2521449"
"kinderopvang";"Maria Boodschap - Afdeling vzw Vrije Kinderdagverblijven Antwerpen";;"Perustraat 8";"2030";"Antwerpen";"4.4237972";"51.2530973"
"kinderopvang";"Fladder en F&#233;";;"Lokkaardstraat 8";"2018";"Antwerpen";"4.4061212";"51.1976340"
"kinderopvang";"Kadee";;"Jan Frans Van De Gaerstraat 56";"2020";"Antwerpen";"4.3852249";"51.1902710"
"kinderopvang";"Robbedoes";;"Valerius De Saedeleerstraat 2";"2020";"Antwerpen";"4.3756237";"51.1917909"
"kinderopvang";"Janneke Maan, afdeling van Vrije Kinderdagverblijven vzw";;"Lange Altaarstraat 4";"2018";"Antwerpen";"4.4324691";"51.2075369"
"kinderopvang";"\'t Eekhoorntje";;"Jozef De Bomstraat 45";"2018";"Antwerpen";"4.4056787";"51.2063764"
"kinderopvang";"\'t Egeltje";;"Boomgaardstraat 195";"2018";"Antwerpen";"4.4281689";"51.2005829"
"kinderopvang";"De Puppies";;"Grote Hondstraat 50-52";"2018";"Antwerpen";"4.4298886";"51.2059497"
"kinderopvang";"De Puzzel";;"Provinciestraat 55";"2018";"Antwerpen";"4.4263237";"51.2161532"
"kinderopvang";"Dol-Fijntje";;"Belegstraat 62";"2018";"Antwerpen";"4.3966761";"51.2042707"
"kinderopvang";"La Primavera";;"Goethestraat 5";"2050";"Antwerpen";"4.3901515";"51.2314833"
"kinderopvang";"De Koekoek";;"Gr&#233;trystraat 46";"2018";"Antwerpen";"4.4171809";"51.2022663"
"kinderopvang";"De Molen";;"Molenstraat 24";"2018";"Antwerpen";"4.4071541";"51.2068687"
"kinderopvang";"Pagadder";;"Lange Riddersstraat 52";"2000";"Antwerpen";"4.3966849";"51.2162648"
"kinderopvang";"De Zonnestraaltjes";;"Graaf Van Egmontstraat 18";"2000";"Antwerpen";"4.3940855";"51.2113961"
"kinderopvang";"Skoebidoe";;"Keizerstraat 71";"2000";"Antwerpen";"4.4101205";"51.2212776"
"kinderopvang";"Bloemendal";;"Kleinebeerstraat 8-10";"2018";"Antwerpen";"4.4275680";"51.2077118"
"kinderopvang";"Cocoon";;"Lamorini&#232;restraat 93";"2018";"Antwerpen";"4.4217873";"51.2050049"
"kinderopvang";"Patrasche";;"Oudestraat 55";"2660";"Hoboken";"4.3533230";"51.1762276"
"kinderopvang";"OKiDO Kiekeboe";;"Evert Larockstraat 2";"2020";"Antwerpen";"4.3747570";"51.1930850"
"kinderopvang";"OKiDO Pieni";;"Maaldersstraat 59";"2060";"Antwerpen";"4.4239601";"51.2242585"
"kinderopvang";"OKiDO-mobiel Nova";;"Schijfstraat 105";"2020";"Antwerpen";"4.3731402";"51.1908037"
"kinderopvang";"OKiDO - Klein Elief";;"Ferdinand Coosemansstraat 116";"2600";"Berchem";"4.4214817";"51.1988391"
"kinderopvang";"OKiDO Stekelbees Kievit";;"Ketsstraat 15";"2018";"Antwerpen";"4.4266119";"51.2146905"
"kinderopvang";"Cr&#232;chendo (IKG)";;"Ten Eekhovelei 289-291";"2100";"Deurne";"4.4468677";"51.2284234"
"kinderopvang";"OKiDO Het Lieverdje Deurne (IKG)";;"Sint-Rochusstraat 81";"2100";"Deurne";"4.4642090";"51.2048772"
"kinderopvang";"OKiDO Het Lieverdje Borgerhout (IKG)";;"Prins Leopoldstraat 51";"2140";"Borgerhout";"4.4387907";"51.2124300"
"kinderopvang";"OKiDO Stekelbees Merksem";;"Sint-Bartholomeusstraat 91";"2170";"Merksem";"4.4448072";"51.2425803"
"kinderopvang";"OKiDO KOKAV";;"Nationalestraat 111";"2000";"Antwerpen";"4.3981082";"51.2139543"
"kinderopvang";"OKiDO Stekelbees Kiel";;"Boomsesteenweg 293";"2020";"Antwerpen";"4.3878584";"51.1874049"
"kinderopvang";"OKiDO-mobiel Stekelbees";;"Duinstraat 102";"2060";"Antwerpen";"4.4308745";"51.2225092"
"kinderopvang";"InNi-Mini-Creche";;"Wijnegemstraat 23A";"2140";"Borgerhout";"4.4422041";"51.2196816"
"kinderopvang";"Kiddy-Boel";;"Prins Boudewijnlaan 1371";"2610";"Wilrijk";"4.4248978";"51.1772228"
