"data_type";"title";"description";"street";"postal";"district";"long";"lat"
"politie";"Politie NOORD - Noorderlaan";;"Noorderlaan 500";"2030";"Antwerpen";"4.3761525";"51.2685304"
"politie";"Politie NOORD - Ekeren";;"Veltwijcklaan 1";"2180";"Ekeren";"4.4341751";"51.2810943"
"politie";"Politie NOORD - Merksem";;"Borrewaterstraat 1";"2170";"Merksem";"4.4446562";"51.2404186"
"politie";"Politie NOORD - Berendrecht";;"Antwerpsebaan 142";"2040";"Berendrecht";"4.3212058";"51.3443060"
"politie";"Politie ZUID - Wilrijk";;"Kleinesteenweg 16";"2610";"Wilrijk";"4.3909309";"51.1699419"
"politie";"Politie ZUID - Hoboken";;"Berkenrodelei 28";"2660";"Hoboken";"4.3498902";"51.1783521"
"politie";"Politie ZUID - Antwerpen";;"Sint-Bernardsesteenweg 111";"2020";"Antwerpen";"4.3836284";"51.1890846"
"politie";"Politie CITY - Handelstraat";;"Handelsstraat 101";"2060";"Antwerpen";"4.4310426";"51.2241201"
"politie";"Politie CENTRUM - Quinten Matsijslei";;"Quinten Matsijslei 50";"2018";"Antwerpen";"4.4177931";"51.2108035"
"politie";"Politie CENTRUM - De Wittestraat";;;;;"4.4149652";"51.1937215"
"politie";"Politie CENTRUM - Paleisstraat";;"Paleisstraat 104";"2018";"Antwerpen";"4.3978835";"51.2059234"
"politie";"Politie OOST - Unolaan";;;;;"4.4596103";"51.2182511"
"politie";"Politie OOST - Lakborslei";;"Lakborslei 200";"2100";"Deurne";"4.4546668";"51.2274873"
"politie";"Politie WEST - Oudaan";;"Oudaan 5";"2000";"Antwerpen";"4.4036298";"51.2158470"
"politie";"Politie WEST - Halewijnlaan";;"Halewijnlaan 84";"2050";"Antwerpen";"4.3780642";"51.2248311"
"politie";"Politie OOST - Junostraat";;"Junostraat 27";"2600";"Berchem";"4.4416876";"51.1993442"
