"district";"title"
"antwerpen";"CDO-Noord"
"antwerpen";"Stedelijk Instituut voor Handel en Ambachten (SIHA)"
"deurne";"Stedelijk Lyceum Deurne - Waterbaan"
"antwerpen";"Stedelijke Middenschool De Beeldekens"
"antwerpen";"De Dames"
"antwerpen";"Onze-Lieve-Vrouwecollege"
"antwerpen";"De Krokodil"
"antwerpen";"Sint-Lievenscollege"
"antwerpen";"Sint-Lievenscollege"
"antwerpen";"Villa Kakelverbond"
"antwerpen";"Sint-Jan Berchmanscollege"
"antwerpen";"Sint-Ludgardis"
"antwerpen";"Prins Dries"
"antwerpen";"Prins Dries"
"antwerpen";"Musica"
"antwerpen";"Musica"
"antwerpen";"Via Louiza"
"antwerpen";"De Kleine Jacob"
"antwerpen";"Sint-Norbertusinstituut"
"antwerpen";"Afrit Zuid"
"antwerpen";"Afrit Zuid"
"antwerpen";"Steinerschool Antwerpen Basisscholen"
"antwerpen";"De Wereldreiziger"
"antwerpen";"De Brug"
"antwerpen";"Sint-Ludgardis Belpaire"
"antwerpen";"De Kolibrie"
"antwerpen";"Alberreke"
"antwerpen";"Crea 16"
"antwerpen";"De Krekel"
"antwerpen";"De Kleine Wereld"
"antwerpen";"De Kleine Beer"
"antwerpen";"De Gele Ballon"
"antwerpen";"De Spiegel"
"antwerpen";"De Wereldschool"
"antwerpen";"Heilig Hart"
"antwerpen";"Yavne"
"antwerpen";"De Zonnebloem"
"antwerpen";"Sint-Jozefinstituut"
"antwerpen";"Leefschool De Dageraad"
"antwerpen";"VIB Jesode-Hatora"
"antwerpen";"Sint-Norbertusinstituut"
"antwerpen";"Experimentele basisschool Vita et Pax (Montessori)"
"antwerpen";"Steinerkleuterschool De Hazelaar"
"antwerpen";"Benoth Jerusalem"
"antwerpen";"Wiznitz"
"antwerpen";"Expo 34"
"antwerpen";"De Blokkendoos"
"hoboken";"\'t Zwaantje"
"antwerpen";"De Piramide"
"antwerpen";"De Kameleon"
"antwerpen";"Het Vosje - campus De Tandem"
"antwerpen";"De Pingu&#239;n"
"antwerpen";"Leefschool Toverbol"
"antwerpen";"Domino"
"antwerpen";"H. Pius X-instituut"
"antwerpen";"Maria Boodschap"
"antwerpen";"Willem Tell"
"antwerpen";"De Schroef (schipperskinderen)"
"antwerpen";"De Zwemschool"
"antwerpen";"De Zwemschool"
"antwerpen";"De Brem"
"antwerpen";"Noordland"
"antwerpen";"Noordland"
"berendrecht";"Berenschool"
"antwerpen";"De Brenne"
"antwerpen";"Tehuis voor schipperskinderen De Spits"
"antwerpen";"School aan de Stroom"
"antwerpen";"De @penstaartjes"
"antwerpen";"De Dobbelsteen"
"antwerpen";"De Dobbelsteen"
"antwerpen";"Sint-Anna Goethe"
"antwerpen";"Sint-Eligiusinstituut"
"antwerpen";"De Vlinders"
"antwerpen";"De Evenaar"
"antwerpen";"Omnimundo"
"antwerpen";"De Gummi\'s"
"antwerpen";"De Bijtjes"
"antwerpen";"De Clowntjes"
"antwerpen";"De Musjes"
"antwerpen";"Villa Stuivenberg"
"antwerpen";"De Vuurtoren"
"antwerpen";"Sint-Aloysius"
"antwerpen";"Sint-Maria"
"antwerpen";"De Pijl"
"antwerpen";"\'t Spoor"
"antwerpen";"Sint-Norbertusinstituut"
"antwerpen";"Sint-Henricus"
"deurne";"De Kangoeroe"
"deurne";"De Kangoeroe"
"deurne";"Het Baronneke"
"deurne";"Kriebel"
"deurne";"De Spe(e)lvogel"
"deurne";"De Bever"
"deurne";"De Bever"
"deurne";"De Moza&#239;ek"
"deurne";"De Octopus"
"deurne";"InPEERi@"
"deurne";"Het Vliegertje"
"deurne";"De Groene Egel"
"deurne";"Het Spuiterke"
"deurne";"De Hoedjes van Papier"
"deurne";"De Rakkertjes"
"deurne";"Koeienschooltje"
"deurne";"Het Pieterke"
"deurne";"Axijoma"
"deurne";"Axijoma"
"deurne";"Immaculata"
"deurne";"Sint Godelieve"
