"data_type";"title";"description";"street";"postal";"district";"long";"lat"
"speelterrein";"Waterpoortpark";;"Vlaamsekaai over 71";"2000";"antwerpen";"4.387195398000074";"51.20752691000007"
"speelterrein";"Regenboogpark";;"Waalsekaai over 33";"2000";"antwerpen";"4.3927924820000612";"51.212086783000075"
"speelterrein";"Sint Andriesplaats";;"Sint-Andriesplaats 17";"2000";"antwerpen";"4.3967819810000606";"51.215057048000062"
"speelterrein";"Prekerstraat";;"Prekersstraat achter 8";"2000";"antwerpen";"4.3954060930000765";"51.213800764000041"
"speelterrein";"Zirkstraat";;"Zirkstraat over 21";"2000";"antwerpen";"4.4006365290000531";"51.222967750000066"
"speelterrein";"Casimiro";;"Noorderlaan null";"2030";"antwerpen";"4.4209441550000292";"51.247409474000051"
"speelterrein";"Hagelbergbos";;"Hagelberg over 5";"2040";"bezali";"4.3264125950000221";"51.345464823000043"
"speelterrein";"Heiblokken";;"Heiblokken naast 8";"2040";"bezali";"4.3383041410000374";"51.347650876000046"
"speelterrein";"Multatuliplein";;"Multatuliplein null";"2050";"antwerpen";"4.3845611850000523";"51.222631000000035"
"speelterrein";"Seniorencentrum";;"Blancefloerlaan 9";"2050";"antwerpen";"4.3502507370000671";"51.222551604000046"
"speelterrein";"Constantijn Huygensstraat";;"Constantijn Huygensstraat over 2";"2050";"antwerpen";"4.3879627370000662";"51.233020282000041"
"speelterrein";"Robinsontuin";;"Kastanjedreef 22";"2050";"antwerpen";"4.3886430930000415";"51.234968486000071"
"speelterrein";"Willem Klooslaan";;"Willem Klooslaan null";"2050";"antwerpen";"4.3757364270000494";"51.228791638000075"
"speelterrein";"Kerkstraat";;"Kerkstraat null";"2060";"antwerpen";"4.4311415120000675";"51.218783059000032"
"speelterrein";"Veerdamlaan";;"Veerdamlaan over 2";"2660";"hoboken";"4.3414141790000258";"51.185137203000068"
"speelterrein";"Kapelstraat";;"Kapelstraat 133";"2660";"hoboken";"4.3447919640000237";"51.173830036000027"
"speelterrein";"Stuivenbergplein";;"Stuivenbergplein over 64";"2060";"antwerpen";"4.4297339680000505";"51.226408826000068"
"speelterrein";"Ruimtevaartlaan";;"Ruimtevaartlaan over 27";"2100";"deurne";"4.4564444060000596";"51.194249863000039"
"speelterrein";"Bosuil";;"Bosuil over 138D";"2100";"deurne";"4.4637989380000249";"51.228840693000052"
"speelterrein";"Van Duyststraat";;"Van Duyststraat over 265";"2100";"deurne";"4.4530711650000399";"51.232748800000081"
"speelterrein";"Tweemontstraat";;"Tweemontstraat thv 294";"2100";"deurne";"4.4452620350000416";"51.234279123000078"
"speelterrein";"Van Deynseplein";;"Van Deynsestraat 58";"2100";"deurne";"4.4511319510000362";"51.230101478000051"
"speelterrein";"Jan Borluutplein";;"Jan Borluutplein null";"2140";"borgerhout";"4.4413688360000378";"51.219877129000054"
"speelterrein";"Weerstandlaan";;"Weerstandlaan rechts van";"2140";"borgerhout";"4.4576871290000213";"51.214717230000076"
"speelterrein";"Boelaerpark";;"Cruyslei null";"2140";"borgerhout";"4.4538356810000437";"51.199421357000062"
"speelterrein";"Lode cantensstraat";;"Lode Cantensstraat null";"2140";"borgerhout";"4.4458764110000288";"51.204937213000051"
"speelterrein";"Krugerpark";;"Krugerplein over 41";"2140";"borgerhout";"4.4409776430000534";"51.216151919000026"
