"data_type";"title";"description";"street";"postal";"district";"long";"lat"
"wijkenstedelijkoverleg";"CENTRUM";;;;"wilrijk";;
"wijkenstedelijkoverleg";"KOORNBLOEM - NEERLAND - INDUSTRIE";;;;"wilrijk";;
"wijkenstedelijkoverleg";"HOBOKEN - ZUIDOOST";;;;"hoboken";;
"wijkenstedelijkoverleg";"VALAAR";;;;"wilrijk";;
"wijkenstedelijkoverleg";"HOOGTE";;;;"wilrijk";;
"wijkenstedelijkoverleg";"OOSTERVELD - ELSDONK";;;;"wilrijk";;
"wijkenstedelijkoverleg";"NIEUW - KWARTIER";;;;"berchem";;
"wijkenstedelijkoverleg";"HOBOKEN - CENTRUM";;;;"hoboken";;
"wijkenstedelijkoverleg";"HOBOKEN - NOORD";;;;"hoboken";;
"wijkenstedelijkoverleg";"HOBOKEN - WEST";;;;"hoboken";;
"wijkenstedelijkoverleg";"JUSTITIE - HARMONIE";;;;"antwerpen";;
"wijkenstedelijkoverleg";"OUD - BERCHEM";;;;"berchem";;
"wijkenstedelijkoverleg";"BREDERODE";;;;"antwerpen";;
"wijkenstedelijkoverleg";"HARINGRODE - ZURENBORG";;;;"antwerpen";;
"wijkenstedelijkoverleg";"DIAMANT - STADSPARK";;;;"antwerpen";;
"wijkenstedelijkoverleg";"ZUID - MUSEUM";;;;"antwerpen";;
"wijkenstedelijkoverleg";"AMANDUS - ATHENEUM";;;;"antwerpen";;
"wijkenstedelijkoverleg";"STUIVENBERG";;;;"antwerpen";;
"wijkenstedelijkoverleg";"SINT-ANDRIES - BOURLA";;;;"antwerpen";;
"wijkenstedelijkoverleg";"STADHUIS - SINT-JACOB - HESSENHUIS";;;;"antwerpen";;
"wijkenstedelijkoverleg";"LINKEROEVER";;;;"antwerpen";;
"wijkenstedelijkoverleg";"DAM - EILANDJE";;;;"antwerpen";;
"wijkenstedelijkoverleg";"OUD - MERKSEM";;;;"merksem";;
"wijkenstedelijkoverleg";"LAMBRECHTSHOEKEN";;;;"merksem";;
"wijkenstedelijkoverleg";"MERKSEM - HEIDE";;;;"merksem";;
"wijkenstedelijkoverleg";"NIEUWDREEF";;;;"merksem";;
"wijkenstedelijkoverleg";"TUINWIJK";;;;"merksem";;
"wijkenstedelijkoverleg";"DONK";;;;"ekeren";;
"wijkenstedelijkoverleg";"MARIABURG";;;;"ekeren";;
"wijkenstedelijkoverleg";"LEUGENBERG";;;;"ekeren";;
"wijkenstedelijkoverleg";"POLDER";;;;"berendrecht-zandvliet-lillo";;
"wijkenstedelijkoverleg";"SCHOONBROEK - LUCHTBAL";;;;"antwerpen";;
"wijkenstedelijkoverleg";"TENTOONSTELLING - DEN BRANDT";;;;"antwerpen";;
"wijkenstedelijkoverleg";"KIEL";;;;"antwerpen";;
"wijkenstedelijkoverleg";"DEURNE - NOORD";;;;"deurne";;
"wijkenstedelijkoverleg";"DEURNE - CENTRUM";;;;"deurne";;
"wijkenstedelijkoverleg";"DEURNE - ZUID";;;;"deurne";;
"wijkenstedelijkoverleg";"BORGERHOUT - EXTRA MUROS";;;;"borgerhout";;
"wijkenstedelijkoverleg";"BORGERHOUT - INTRA MUROS";;;;"borgerhout";;
"wijkenstedelijkoverleg";"GROENENHOEK";;;;"berchem";;
"wijkenstedelijkoverleg";"DEURNE - OOST";;;;"deurne";;
"wijkenstedelijkoverleg";"EKEREN CENTRUM";;;;"ekeren";;
