"gebieden";"onderwerpen";"data_2000";"data_2001";"data_2002";"data_2003";"data_2004";"data_2005";"data_2006";"data_2007";"data_2008";"data_2009";"data_2010";"data_2011";"data_2012"
"Antwerpen";"Totaal aantal inwoners";"160147";"161797";"165795";"167275";"167620";"169606";"171000";"172980";"174806";"177699";"178596";"182492";"190574"
"Antwerpen";"Aantal mannen";"79610";"80780";"83293";"84265";"84884";"86123";"87049";"88201";"89295";"91007";"91262";"93468";"97898"
"Antwerpen";"Aantal vrouwen";"80537";"81017";"82502";"83010";"82736";"83483";"83951";"84779";"85511";"86692";"87334";"89024";"92676"
"Antwerpen";"Percentage mannen";"49,7105784";"49,9267601";"50,2385476";"50,3751308";"50,640735";"50,7782744";"50,905848";"50,9891317";"51,0823427";"51,2141318";"51,0996887";"51,2175876";"51,3700715"
"Antwerpen";"Percentage vrouwen";"50,2894216";"50,0732399";"49,7614524";"49,6248692";"49,359265";"49,2217256";"49,094152";"49,0108683";"48,9176573";"48,7858682";"48,9003113";"48,7824124";"48,6299285"
"Antwerpen";"Bevolkingsdichtheid";"1834,244807";"1853,1430938";"1898,9342153";"1915,8854059";"1919,8368658";"1942,583531";"1958,5497199";"1981,2276641";"2002,1417681";"2035,2767642";"2045,5505601";"2090,1734239";"2182,7406686"
"Antwerpen";"Gemiddelde leeftijd";"40,0377341";"39,6942032";"39,3299557";"39,0717023";"39,0125701";"38,7112248";"38,5178947";"38,340022";"38,160189";"37,9885706";"37,834554";"37,622367";"37,2734738"
"Antwerpen";"Aantal 0 tem 11-jarigen";"22256";"22669";"23287";"23730";"23766";"24567";"24997";"25487";"26206";"26888";"27596";"28496";"29878"
"Antwerpen";"Aantal 12 tem 17-jarigen";"9639";"9762";"9994";"10002";"10091";"10134";"10140";"10201";"10220";"10282";"10399";"10538";"11029"
"Antwerpen";"Aantal 18 tem 24-jarigen";"14134";"14904";"15580";"15648";"15611";"15810";"15835";"16172";"16217";"16468";"15933";"16348";"17482"
"Antwerpen";"Aantal 25 tem 39-jarigen";"37956";"38734";"40890";"42015";"42309";"43133";"44034";"44940";"45701";"46913";"47166";"48417";"51430"
"Antwerpen";"Aantal 40 tem 64-jarigen";"45059";"45021";"45628";"45993";"46175";"46670";"47272";"47894";"48593";"49373";"50064";"51600";"53572"
"Antwerpen";"Aantal 65-plussers";"31103";"30707";"30416";"29887";"29668";"29292";"28722";"28286";"27869";"27775";"27438";"27093";"27183"
"Antwerpen";"Aantal 18 tem 64-jarigen";"97149";"98659";"102098";"103656";"104095";"105613";"107141";"109006";"110511";"112754";"113163";"116365";"122484"
"Antwerpen";"Percentage 0 tem 11-jarigen";"13,8972319";"14,0107666";"14,0456588";"14,1862203";"14,178499";"14,484747";"14,6181287";"14,7340733";"14,9914763";"15,131205";"15,4516339";"15,6149311";"15,6778994"
"Antwerpen";"Percentage 12 tem 17-jarigen";"6,0188452";"6,0334864";"6,0279261";"5,9793753";"6,0201647";"5,9750245";"5,9298246";"5,8972136";"5,8464812";"5,786189";"5,8226388";"5,7744997";"5,7872532"
"Antwerpen";"Percentage 18 tem 24-jarigen";"8,8256414";"9,2115429";"9,3971471";"9,3546555";"9,3133278";"9,3216042";"9,2602339";"9,3490577";"9,2771415";"9,2673566";"8,9212524";"8,9582009";"9,1733395"
