"title";"description";"address";"gisx";"gisy";"image";"link"
"cc Berchem";"Cultuurcentrum Berchem is een open cultuurhuis met zin voor onzin, met focus op de buurt, met aandacht voor diversiteit, met liefde voor kunst en met veel goesting om haar programma met zoveel mogelijk mensen te delen.";"Driekoningenstraat 126, 2600";"4.4225722";"51.1968983";"http://www.antwerpen.be/pics/Stad/Bedrijven/Cultuur_sport_recreatie/CS_CCentra/CBE/headerccberchem.png";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=3307"
"Museum Plantin-Moretus/Prentenkabinet";"Het Museum Plantin-Moretus is de enige drukkerij-uitgeverij ter wereld, die bewaard is gebleven uit de renaissance- en baroktijd. Het is de voortzetting van de Officina Plantiniana. Deze werd in 1555 gesticht door Christoffel Plantin, de eerste industriÃ«le drukker uit de geschiedenis.";"Vrijdagmarkt 22-23, Antwerpen";"4.3989892";"51.2183771";"http://www.antwerpen.be/pics/Stad/Bedrijven/Cultuur_sport_recreatie/CS_Musea/Plantin_Moretus/image_plantin.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=3653"
"cc De Schelde";"Jeugd- en cultuurcentrum De Schelde wordt omgebouwd tot een vrijetijdscentrum. Het wordt Âthe place to beÂ voor jong en ouder om elkaar te ontmoeten en om vrije tijd educatief, speels, sportief of cultureel in te vullen.";"De Keyserhoeve 66";"4.3116710";"51.3595502";"http://www.antwerpen.be/pics/Stad/Districten/BeZaLi/Voorgevel vrijetijdscentrum De Schelde.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=6378"
"cc Deurne";"Cultuurcentrum Deurne presenteert het hele jaar door een zo divers mogelijk cultuuraanbod. Theater, comedy, boombals, ontbijtfilms, ... het kan allemaal. Ook buitenshuis zijn er heel wat activiteiten zoals Wintervuur en de openluchtconcerten in het Rivierenhof.";"Frans Messingstraat 36, 2100";"4.4679882";"51.2267709";"http://www.antwerpen.be/pics/Stad/Bedrijven/Cultuur_sport_recreatie/CS_CCentra/antwerpen_be_deurne.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=15137"
"cc De Kern";"De Kern, dat is een theaterschouwburg annex concertzaal op De Bist en Kasteel Steytelinck in het Park. Met een gevarieerd aanbod wil De Kern het kloppende culturele hart van Wilrijk zijn. U kan bij ons comedians aan het werk zien, auteurs horen voorlezen, concerten meepikken en je abonneren op het betere theater.";"Kern 18, 2610 Wilrijk";"4.3945987";"51.1706775";"http://www.antwerpen.be/pics/Stad/Bedrijven/Cultuur_sport_recreatie/CS_CCentra/antwerpen_be_kern.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=19251"
"Rubenianum";"Het Rubenianum is een studie- en documentatiecentrum gespecialiseerd in de kunst van de late Middeleeuwen tot de achttiende eeuw, met de nadruk op de Vlaamse schilderkunst van de 16de en 17de eeuw.";"Kolveniersstraat 20, 2000 Antwerpen";"4.4103696";"51.2171882";"http://www.antwerpen.be/pics/Stad/Bedrijven/Cultuur_sport_recreatie/CS_Musea/Rubenianum_lang.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=20281"
"UiThuis Hoboken";"In afwachting van een eigen cultuurcentrum zit de cultuurwerking van Hoboken niet stil en organiseren ze klassieke concerten, kinderfeesten, camping Louisa en comedyavonden. Ze zetten ook zwaar in op grotere projecten samen met alle cultuurpartners in Hoboken. U kan ze tegenwoordig vinden in het UiThuis, Kapelstraat 64, 2660 Hoboken.";"Kapelstraat 64, 2660";"4.3473635";"51.1749504";"http://www.antwerpen.be/pics/Stad/Bedrijven/Cultuur_sport_recreatie/CS_CCentra/antwerpen_be_casa.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=34298"
"Museum Vleeshuis";"Het museum Vleeshuis brengt het verhaal over 600 jaar klank, muziek en dans in Antwerpen. Maak er kennis met de stadsmuziek in al zijn facetten. Ook de Antwerpse opera, muziek op kiosken en in concertzalen, huismuziek, instrumentenbouw en dans komen uitgebreid aan bod. Verwacht geen klassiek instrumentenmuseum, maar een levendige reis naar de wereld achter de muziek!";"Vleeshouwersstraat 38 2000 Antwerpen";"4.3997862";"51.2230700";"http://www.antwerpen.be/pics/Stad/Bedrijven/Cultuur_sport_recreatie/CS_Musea/Vleeshuis/image_vleeshuis.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=38991"
"Zilvermuseum Sterckshof";"Het Zilvermuseum in Deurne heeft het kasteel Sterckshof als thuisbasis. Zoals het een kasteel betaamt, heeft het Sterckshof vele kamers en vooral Âruimte voor zilverÂ. De zilvercollectie gaatvan het heden terug tot de 16de eeuw.";"Cornelissenlaan 2100 Deurne";"4.4605190";"51.2145991";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8000033"
"Red Star Line Museum";"Aan de Rijnkaai op het Eilandje zijn drie havenloodsen bewaard gebleven die eigendom waren van de scheepvaartmaatschappij Red Star Line. De stad heeft de drie loodsen gekocht om ze te herstellen in hun oude glorie. In de loodsen van de legendarische rederij met de rode ster in de vlag opent op 27 september 2013 het Red Star Line Museum.";"Rijnkaai 2000";"4.4029038";"51.2313861";"http://www.antwerpen.be/pics/Stad/Bedrijven/Cultuur_sport_recreatie/CS_Musea/RedStarLine/Redstarline_start_06.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8002499"
