"glascontainer_nr";"straatnaam";"huisnummer";"postcode";"type";"ondergrond_verhard";"opmerking";"begindatum";"point_lng";"point_lat"
"382";"MACCABILAAN";"";"2660";"duo glasbol";"ja";"";"";"4.3381984030000353";"51.175783092000074"
"279";"GROTEBAAN";"23";"2660";"duo glasbol";"ja";"";"";"4.3415041210000709";"51.172884624000062"
"208";"JOZEF LEEMANSLAAN";"";"2660";"duo glasbol";"ja";"";"";"4.3440383540000198";"51.173974972000053"
"041";"SMALLANDLAAN";"7";"2660";"mono glasbol wit";"ja";"containerpark";"";"4.3370690070000251";"51.181813671000043"
"033";"SMALLANDLAAN";"7";"2660";"mono glasbol wit";"ja";"containerpark";"";"4.3371768510000379";"51.181860322000034"
"116";"SMALLANDLAAN";"7";"2660";"mono glasbol groen";"ja";"containerpark";"";"4.3372712270000306";"51.181902727000079"
"196";"SMALLANDLAAN";"7";"2660";"mono glasbol groen";"ja";"containerpark";"";"4.3373723550000705";"51.181940891000067"
"244";"RESTRINGENLAAN";"";"2660";"duo glasbol";"ja";"";"";"4.3419018410000376";"51.18514164100003"
"098";"SCHROEILAAN";"";"2660";"mono glasbol wit";"ja";"";"";"4.3478369860000612";"51.182850028000075"
"114";"SCHROEILAAN";"";"2660";"mono glasbol groen";"ja";"";"";"4.3479178900000761";"51.182883937000042"
"253";"BERKENRODELEI";"126";"2660";"duo glasbol";"ja";"";"";"4.3488084230000368";"51.181744066000078"
"201";"COMMANDANT WEYNSSTRAAT";"116";"2660";"duo glasbol";"ja";"";"";"4.3526513440000372";"51.183384712000077"
"212";"VAN DE PERRELEI";"9";"2660";"duo glasbol";"ja";"<Null>";"";"4.3555721750000203";"51.179274190000058"
"194";"STEYNSTRAAT";"330";"2660";"mono glasbol groen";"ja";"";"";"4.3663129160000267";"51.183978951000029"
"013";"STEYNSTRAAT";"330";"2660";"mono glasbol wit";"ja";"";"";"4.3663870850000421";"51.184021332000043"
"448";"WEERSTANDLAAN";"6A";"2660";"duo glasbol";"ja";"<Null>";"";"4.3690299470000582";"51.185691718000044"
"010";"ZEELANDSTRAAT";"";"2660";"mono glasbol wit";"ja";"";"";"4.3711002840000219";"51.18524059300006"
"198";"ZEELANDSTRAAT";"";"2660";"mono glasbol groen";"ja";"";"";"4.3710708380000369";"51.185261258000025"
"630";"VOETBALSTRAAT";"32";"2660";"ondergrondse duo";"ja";"";"";"4.3733034030000226";"51.183848182000077"
"183";"HUISBLOKSTRAAT";"";"2610";"mono glasbol wit";"ja";"";"";"4.3852461070000572";"51.176420101000076"
"088";"HUISBLOKSTRAAT";"";"2610";"mono glasbol groen";"ja";"";"";"4.3852575500000626";"51.176390842000046"
"032";"GEBROEDERS DE WACHTERSTRAAT";"";"2610";"mono glasbol wit";"ja";"";"";"4.3806672660000459";"51.176705288000051"
"149";"GEBROEDERS DE WACHTERSTRAAT";"";"2610";"mono glasbol groen";"ja";"";"";"4.380725324000025";"51.176707717000056"
"080";"PASTOOR BAUWENSLAAN";"67";"2610";"mono glasbol wit";"ja";"<Null>";"";"4.3782719600000632";"51.179058166000061"
"192";"PASTOOR BAUWENSLAAN";"67";"2610";"mono glasbol groen";"ja";"<Null>";"";"4.3783106660000612";"51.179036267000072"
"441";"RIDDERVELD";"11";"2610";"duo glasbol";"ja";"";"";"4.3747218030000568";"51.177158322000082"
"325";"SCHOONSELHOFLEI";"";"2660";"duo glasbol";"ja";"";"";"4.3676588150000271";"51.176158469000029"
"235";"ALFRED NOBELLAAN";"16";"2660";"duo glasbol";"ja";"<Null>";"";"4.3608060830000568";"51.177176216000078"
"014";"PAUL VEKEMANSLAAN";"";"2660";"mono glasbol wit";"ja";"";"";"4.3632608890000597";"51.176051250000057"
"104";"PAUL VEKEMANSLAAN";"";"2660";"mono glasbol groen";"ja";"";"";"4.3632439780000709";"51.176001147000079"
"348";"SALESIANENLAAN";"";"2660";"duo glasbol";"ja";"";"";"4.3673412150000672";"51.173118539000029"
"021";"OUDESTRAAT";"130";"2660";"mono glasbol wit";"ja";"<Null>";"";"4.3543853450000256";"51.17351431700007"
"109";"OUDESTRAAT";"130";"2660";"mono glasbol groen";"ja";"<Null>";"";"4.3544592100000727";"51.173521471000072"
"xxx";"HERENTALSEBAAN";"141";"2100";"duo glasbol";"ja";"";"";"4.4585007480000627";"51.209608101000072"
"260";"HERENTALSEBAAN";"141";"2100";"duo glasbol";"ja";"";"";"4.4586335120000626";"51.209628842000029"
