"id";"thema";"type";"subtype";"naam";"straatnaam";"postcode";"district";"publiek_detail";"bereik";"grond_opp";"opp_ha";"lgst_niv";"hgst_niv";"x_coord";"y_coord";"ligging";"bezoekersaantal";"algemeen_uitzicht";"netheid";"hoogte_afsluiting";"materiaal_afsluiting";"aantal_vuilnisbakken";"aantal_zitbanken";"verlichting";"andere_objecten";"type_ondergrond";"quotering_algemeen";"point_lng";"point_lat"
"OPR0481";"groene open ruimte";"gebruiksgroen";"hondenweide";"KLEINESTEENWEG";"KLEINESTEENWEG";"2610";"WILRIJK";"formeel groen, ingericht of bedoeld voor recreatie";"";"543.80419099999995";"0.054380409999999997";"buurt";"stadsdeel";"151373.03249998999";"206671.13199999";"zeer geschikt";"hoog";"goed";"aanvaardbaar";"2m00";"staalmat/ tuinmuren";"2";"1";"geen";"";"gras";"TE KLEIN";"4.3883937530000594";"51.170050677000063"
"OPR0482";"groene open ruimte";"gebruiksgroen";"hondenweide";"OVERWINNINGSTRAAT";"OVERWINNINGSTRAAT";"2610";"WILRIJK";"formeel groen, ingericht of bedoeld voor recreatie";"";"1501.4452080000001";"0.15014452";"buurt";"stadsdeel";"151633.87549999999";"207246.09330000001";"minder geschikt";"hoog";"goed";"goed";"1m10";"staalmat";"2";"1";"geen";"";"gras";"OK";"4.3921259390000387";"51.175218031000043"
"OPR0487";"groene open ruimte";"gebruiksgroen";"hondenweide";"COOPERATIELAAN";"COOPERATIELAAN";"2660";"HOBOKEN";"formeel groen, ingericht of bedoeld voor recreatie";"";"1103.448762";"0.11034487";"buurt";"stadsdeel";"149956.196";"207358.99900000001";"zeer geschikt";"hoog";"goed";"goed";"1m05";"staalmat";"1";"1";"onrechtstreeks";"";"zand";"OK";"4.3681363220000549";"51.176235463000069"
"OPR0489";"groene open ruimte";"gebruiksgroen";"hondenweide";"APOLLOSTRAAT";"APOLLOSTRAAT";"2600";"BERCHEM";"formeel groen, ingericht of bedoeld voor recreatie";"";"492.66951699999998";"0.049266949999999997";"buurt";"stadsdeel";"155390.82199999";"209875.33300000001";"zeer geschikt";"hoog";"onaanvaardbaar";"onaanvaardbaar";"1m20";"staalmat";"1";"0";"geen";"";"zand";"TE KLEIN";"4.44588727200005";"51.198827554000047"
"OPR0428";"groene open ruimte";"gebruiksgroen";"hondenweide";"COLUMBIASTRAAT (TUSSEN DE LANGBLOKKEN)";"COLUMBIASTRAAT";"2030";"ANTWERPEN";"formeel groen, ingericht of bedoeld voor recreatie";"";"2434.5855940000001";"0.24345855";"buurt";"stadsdeel";"153625.685";"216016.56899999001";"zeer geschikt";"hoog";"goed";"goed";"1m00";"maasdraad in  Ligustrum haag";"1";"1";"onrechtstreeks";"";"gras";"OK";"4.4206972790000236";"51.254041345000076"
"OPR0491";"groene open ruimte";"gebruiksgroen";"hondenweide";"LAARSEBAAN";"LAARSEBAAN";"2170";"MERKSEM";"formeel groen, ingericht of bedoeld voor recreatie";"";"1393.1778690000001";"0.13931778";"buurt";"stadsdeel";"154825.60729998999";"216750.85200000001";"minder geschikt";"hoog";"goed";"goed";"0m95";"maasdraad zonder bovenbuis";"1";"2";"onrechtstreeks";"";"gras";"AANPASSEN";"4.4378943030000642";"51.26063229500005"
"OPR0443";"groene open ruimte";"gebruiksgroen";"hondenweide";"CAMILLE HUYSMANSLAAN / BOOMSESTEENWEG";"CAMILLE HUYSMANSLAAN";"2020";"ANTWERPEN";"formeel groen, ingericht of bedoeld voor recreatie";"";"694.73245999999995";"0.069473240000000006";"buurt";"stadsdeel";"151279.383";"208889.93599999999";"zeer geschikt";"hoog";"goed";"goed";"1m57";"maasdraad met bovenbuis";"1";"1";"onrechtstreeks";"";"gras";"OK";"4.387063142000045";"51.189994712000043"
"OPR0452";"groene open ruimte";"gebruiksgroen";"hondenweide";"LUISBEKELAAR";"LUISBEKELAAR";"2600";"BERCHEM";"formeel groen, ingericht of bedoeld voor recreatie";"";"717.91079000000002";"0.071791069999999998";"buurt";"stadsdeel";"155285.98699999999";"210645.69399999001";"geschikt";"hoog";"goed";"goed";"0m95";"staalmat";"1";"2";"onrechtstreeks";"Â²";"gras/zand";"OK";"4.4443988670000749";"51.205752897000082"
"OPR0455";"groene open ruimte";"gebruiksgroen";"hondenweide";"LUMBEECKSTRAAT";"LUMBEECKSTRAAT";"2660";"HOBOKEN";"formeel groen, ingericht of bedoeld voor recreatie";"";"921.11310300000002";"0.092111310000000002";"buurt";"stadsdeel";"148224.20099998999";"207368.796";"minder geschikt";"hoog";"goed";"goed";"1m55";"staalmat";"2";"1";"geen";"";"gras/zand";"OK";"4.3433694400000604";"51.176321066000071"
"OPR0458";"groene open ruimte";"gebruiksgroen";"hondenweide";"WATERHOENLAAN";"WATERHOENLAAN";"2050";"ANTWERPEN";"formeel groen, ingericht of bedoeld voor recreatie";"";"399.64356800000002";"0.039964350000000003";"buurt";"stadsdeel";"150932.489";"212309.58199999001";"zeer geschikt";"hoog";"goed";"goed";"1m05";"staalmat";"2";"1";"onrechtstreeks";"";"gras/zand";"UITBREIDEN GEWENST";"4.3821108760000698";"51.220732754000039"
"OPR0460";"groene open ruimte";"gebruiksgroen";"hondenweide";"PRINSES JOSÃPHINE CHARLOTTELAAN";"PRINSES JOSÃPHINE CHARLOTTELAAN";"2600";"BERCHEM";"formeel groen, ingericht of bedoeld voor recreatie";"";"477.06779299999999";"0.047706770000000003";"buurt";"stadsdeel";"153804.03999999";"207934.81099999999";"ongeschikt";"weinig";"onaanvaardbaar";"slecht";"1m10";"maasdraad zonder bovenbuis";"0";"1";"onrechtstreeks";"";"gras/ zand";"VOLDOET NIET";"4.4231651190000321";"51.181398050000041"
"OPR0295";"groene open ruimte";"gebruiksgroen";"hondenweide";"VLAAMSEKAAI/WAALSEKAAI";"VLAAMSEKAAI";"2000";"ANTWERPEN";"formeel groen, ingericht of bedoeld voor recreatie";"";"655.41596400000003";"0.065541589999999997";"buurt";"stadsdeel";"151333.03899999001";"210871.51500000001";"zeer geschikt";"zeer hoog";"goed";"goed";"1m04";"staalmat";"1";"3";"onrechtstreeks";"";"gras/zand";"OK";"4.3878384010000673";"51.207805954000037"
"OPR0478";"groene open ruimte";"gebruiksgroen";"hondenweide";"RUNCVOORTPARK";"TERLINDENHOFSTRAAT";"2170";"MERKSEM";"formeel groen, ingericht of bedoeld voor recreatie";"";"617.65109500000005";"0.061765100000000003";"buurt";"stadsdeel";"155094.63139999";"215270.57099999001";"minder geschikt";"gemiddeld";"goed";"goed";"1m05";"staalmat";"1";"3";"geen";"";"gras/zand";"OK";"4.441726999000025";"51.247324766000077"
"OPR0021";"groene open ruimte";"gebruiksgroen";"hondenweide";"GALLIFORT/ tov BISSCHOPPENHOF";"GALLIFORTLEI";"2100";"DEURNE";"formeel groen, ingericht of bedoeld voor recreatie";"333";"30591";"3.0590999999999999";"buurt";"stadsdeel";"156953.63029999999";"213330.712";"zeer geschikt";"zeer hoog";"goed";"goed";"2m00";"staalmat";"5";"3";"onrechtstreeks";"";"gras";"OK";"4.4683127400000444";"51.229868975000045"
"OPR0224";"groene open ruimte";"gebruiksgroen";"hondenweide";"AARTSELAARSTRAAT";"AARTSELAARSTRAAT";"2660";"HOBOKEN";"formeel groen, ingericht of bedoeld voor recreatie";"153";"2223.8321129999999";"0.22238321";"buurt";"stadsdeel";"149620.87520000001";"207384.8959";"zeer geschikt";"hoog";"goed";"goed";"1m00";"staalmat";"2";"1";"rechtstreeks";"";"gras/zand";"OK";"4.3633413450000376";"51.176468169000032"
"OPR0420";"groene open ruimte";"gebruiksgroen";"hondenweide";"KRUGERPARK";"KRUGERPARK";"2140";"BORGERHOUT";"formeel groen, ingericht of bedoeld voor recreatie";"";"532";"0.053199999999999997";"buurt";"stadsdeel";"155009.05900000001";"211853.34699999";"zeer geschikt";"hoog";"goed";"goed";"1m00";"staalmat";"1";"0";"onrechtstreeks";"";"gras";"OK";"4.4407433470000228";"51.216427846000045"
"OPR0421";"groene open ruimte";"gebruiksgroen";"hondenweide";"TWEEKRONENSTRAAT/ EKERSEVELDSLAGSTRAAT";"EKERSEVELDSLAGSTRAAT";"2030";"ANTWERPEN";"formeel groen, ingericht of bedoeld voor recreatie";"";"1266.676876";"0.12666768";"buurt";"stadsdeel";"152928.8971";"219229.38569999";"minder geschikt";"hoog";"goed";"goed";"1m05";"staalmat";"1";"2";"geen";"rubber tegels thv poort";"gras";"AFGELEGEN";"4.4085510230000295";"51.281285720000028"
"OPR0422";"groene open ruimte";"gebruiksgroen";"hondenweide";"VINÃOTTESTRAAT";"VINÃOTTESTRAAT";"2140";"BORGERHOUT";"formeel groen, ingericht of bedoeld voor recreatie";"";"257.03644300000002";"0.02570364";"buurt";"stadsdeel";"154836.49799999999";"211809.20899998999";"geschikt";"hoog";"onaanvaardbaar";"slecht";"2m00 en 1m00";"staalmat/ maasdraad";"1";"0";"geen";"";"gras";"VOLDOET NIET";"4.4375912420000532";"51.215779409000049"
"OPR0423";"groene open ruimte";"gebruiksgroen";"hondenweide";"HOF VAN TICHELEN";"HOF VAN TICHELEN";"2020";"ANTWERPEN";"formeel groen, ingericht of bedoeld voor recreatie";"";"816.444658";"0.081644460000000002";"buurt";"stadsdeel";"151253.04980000001";"208004.51680000001";"zeer geschikt";"hoog";"goed";"goed";"1m00";"staalmat";"1";"0";"geen";"";"gras/zand";"OK";"4.3866832030000751";"51.182036169000071"
"OPR0426";"groene open ruimte";"gebruiksgroen";"hondenweide";"PATER STRACKESTRAAT";"PATER STRACKESTRAAT";"2030";"ANTWERPEN";"formeel groen, ingericht of bedoeld voor recreatie";"";"713.621804";"0.071362179999999997";"buurt";"stadsdeel";"153143.53199998999";"217788.91800000001";"minder geschikt";"hoog";"goed";"goed";"1m05";"staalmat";"1";"0";"onrechtstreeks";"";"gras/ zand";"OK";"4.4152265450000527";"51.269643169000062"
"OPR0427";"groene open ruimte";"gebruiksgroen";"hondenweide";"WANNINKHOVELAAN";"WANNINKHOVELAAN";"2610";"WILRIJK";"formeel groen, ingericht of bedoeld voor recreatie";"";"1581.65796";"0.15816579";"buurt";"stadsdeel";"151577.06059999001";"205010.79579999999";"ongeschikt";"zeer hoog";"goed";"goed";"1m05";"staalmat/ maasdraad";"2";"1";"geen";"";"zand";"VOLDOET NIET";"4.3913097560000551";"51.155125841000029"
"OPR0430";"groene open ruimte";"gebruiksgroen";"hondenweide";"DE NELISPLEIN";"DE NELISPLEIN";"2020";"ANTWERPEN";"formeel groen, ingericht of bedoeld voor recreatie";"";"511.31679400000002";"0.051131669999999997";"buurt";"stadsdeel";"151451.32999999";"209096.14499999999";"minder geschikt";"hoog";"aanvaardbaar";"aanvaarbaar";"0lm95";"maasdraad zonder bovenbuis";"1";"0";"rechtstreeks";"";"gras/zand";"AANPASSEN";"4.3898468940000726";"51.191813860000082"
"OPR0431";"groene open ruimte";"gebruiksgroen";"hondenweide";"TEN EECKHOVELEI";"TEN EECKHOVELEI";"2100";"DEURNE";"formeel groen, ingericht of bedoeld voor recreatie";"";"6251";"0.62509999999999999";"buurt";"stadsdeel";"155394.45699999999";"213196.61499999001";"geschikt";"hoog";"goed";"goed";"1m05";"staalmat/ maasdraad";"2";"1";"onrechtstreeks";"";"gras";"OK";"4.450272367000025";"51.224040740000078"
