"gebieden";"onderwerpen";"data_2000";"data_2001";"data_2002";"data_2003";"data_2004";"data_2005";"data_2006";"data_2007";"data_2008";"data_2009"
"Antwerpen";"gemiddeld netto belastbaar inkomen per persoon";"10486,6265494";"10802,6475213";"10691,8570041";"10757,4910776";"11056,7844171";"11412,2973951";"11874,3287018";"12359,7030871";"12896,2149125";"12954,6827838"
"Antwerpen";"gemiddeld netto belastbaar inkomen per aangifte";"19232,2871899";"19677,7406865";"20099,5128013";"20332,8736723";"20516,9619183";"20384,7599549";"20720,1262079";"21280,8584084";"22277,5858409";"22594,2148676"
"Antwerpen";"Doorsnee inkomen";"0";"0";"0";"0";"0";"15328";"15596";"15978";"17008";"17178"
"Antwerpen";"aantal aangiften";"87322";"88823";"88194";"88500";"90332";"94953";"97997";"100465";"101193";"101886"
"Antwerpen";"netto belastbaar inkomen (totaal)";"1679401782";"1747835961";"1772656432";"1799459320";"1853338204";"1935594112";"2030510208";"2137981440";"2254335744";"2302034176"
"Berendrecht_Zandvliet";"gemiddeld netto belastbaar inkomen per persoon";"11858,2748355";"12574,0312662";"12677,1959327";"13253,4562331";"13814,0419544";"14160,5574797";"14783,7052852";"15428,1557574";"16301,7453564";"16536,2664742"
"Berendrecht_Zandvliet";"gemiddeld netto belastbaar inkomen per aangifte";"23257,3786109";"24363,6044132";"24950,0197074";"25800,4896023";"25985,9502067";"25841,0630116";"26305,0845438";"27292,0228994";"28709,7807018";"29727,8783834"
"Berendrecht_Zandvliet";"Doorsnee inkomen";"0";"0";"0";"0";"0";"21064";"21386";"22047";"23253";"23926"
"Berendrecht_Zandvliet";"aantal aangiften";"4881";"4985";"4922";"4953";"5081";"5253";"5370";"5415";"5472";"5394"
"Berendrecht_Zandvliet";"netto belastbaar inkomen (totaal)";"113519265";"121452568";"122803997";"127789825";"132034613";"135743104";"141258304";"147786304";"157099920";"160352176"
"Ekeren";"gemiddeld netto belastbaar inkomen per persoon";"13111,6717645";"13413,8937997";"13817,759939";"14105,2584214";"14744,7391363";"15153,4548052";"15646,0165289";"16187,5039437";"17062,4419944";"17344,6558074"
"Ekeren";"gemiddeld netto belastbaar inkomen per aangifte";"26516,15698";"27013,6193408";"27219,4986756";"27534,6090416";"27055,6569667";"27000,9423368";"27630,9830508";"28413,2793117";"29740,1297751";"30277,427291"
"Ekeren";"Doorsnee inkomen";"0";"0";"0";"0";"0";"21197";"21535";"22229";"23243";"23819"
"Ekeren";"aantal aangiften";"10702";"11044";"11326";"11436";"12165";"12573";"12744";"12785";"12853";"12942"
"Ekeren";"netto belastbaar inkomen (totaal)";"283775912";"298338412";"308288042";"314885789";"329132067";"339482848";"352129248";"363263776";"382249888";"391850464"
"Merksem";"gemiddeld netto belastbaar inkomen per persoon";"11643,3995683";"12212,884668";"12763,2398387";"13014,4191763";"13356,0887138";"13855,954958";"14121,1598571";"14516,1625133";"15055,137289";"14961,830903"
"Merksem";"gemiddeld netto belastbaar inkomen per aangifte";"23767,7627178";"24155,3297877";"23909,526029";"24088,6584221";"23281,7178465";"23458,1733021";"23719,5590757";"24431,6905753";"25318,1949335";"25448,0306264"
"Merksem";"Doorsnee inkomen";"0";"0";"0";"0";"0";"18860";"19257";"19585";"20611";"21041"
"Merksem";"aantal aangiften";"19972";"20683";"21841";"22156";"23590";"24339";"24494";"24510";"24593";"24554"
"Merksem";"netto belastbaar inkomen (totaal)";"474689757";"499604686";"522207958";"533708316";"549215724";"570948480";"580986880";"598820736";"622650368";"624850944"
"Hoboken";"gemiddeld netto belastbaar inkomen per persoon";"11565,8361787";"12150,8677366";"12283,8327383";"12500,3374009";"12801,3389448";"13068,1478734";"13441,447663";"13843,0718048";"14506,7073604";"14596,5120273"
"Hoboken";"gemiddeld netto belastbaar inkomen per aangifte";"21835,3946881";"22913,4131646";"22994,3633602";"23181,1394917";"23024,8832543";"23260,1171617";"23879,0659149";"24478,6369466";"25735,7300901";"25975,7793857"
"Hoboken";"Doorsnee inkomen";"0";"0";"0";"0";"0";"19039";"19549";"20008";"20926";"21341"
"Hoboken";"aantal aangiften";"17809";"17942";"18106";"18295";"18990";"19392";"19510";"19650";"19651";"19763"
"Hoboken";"netto belastbaar inkomen (totaal)";"388866544";"411112459";"416335943";"424098947";"437242533";"451060192";"465880576";"481005216";"505732832";"513359328"
"Wilrijk";"gemiddeld netto belastbaar inkomen per persoon";"13539,0080836";"14067,6201688";"14469,8462756";"14497,7671971";"15013,0617785";"15388,3266134";"15750,4668585";"16461,0933306";"16945,8210641";"17051,2005747"
"Wilrijk";"gemiddeld netto belastbaar inkomen per aangifte";"24554,3950688";"25247,2816678";"26029,6501914";"25931,9821048";"26043,1354472";"26163,0816859";"26718,5154567";"27550,2948193";"28430,3319282";"29099,0234676"
"Wilrijk";"Doorsnee inkomen";"0";"0";"0";"0";"0";"19993";"20486";"20851";"21794";"22332"
"Wilrijk";"aantal aangiften";"21009";"21394";"21426";"21570";"22171";"22611";"22741";"22970";"23011";"22840"
"Wilrijk";"netto belastbaar inkomen (totaal)";"515863286";"540140344";"557711285";"559352854";"577402356";"591573440";"607605760";"632830272";"654210368";"664621696"
"Berchem";"gemiddeld netto belastbaar inkomen per persoon";"12598,1653675";"13304,7938036";"13586,4248113";"13803,5947967";"14110,3842396";"14755,0746083";"15159,6237121";"15741,5983805";"16442,9968142";"16554,6728493"
"Berchem";"gemiddeld netto belastbaar inkomen per aangifte";"22399,3499911";"23296,6421034";"23831,7217649";"23960,1458604";"23727,5439269";"24041,6024678";"24550,3788489";"25275,6643279";"26533,2540335";"27142,7411103"
"Berchem";"Doorsnee inkomen";"0";"0";"0";"0";"0";"17808";"18221";"18799";"19849";"20322"
"Berchem";"aantal aangiften";"22512";"22839";"22959";"23118";"23983";"24637";"24812";"25227";"25288";"25254"
"Berchem";"netto belastbaar inkomen (totaal)";"504254167";"532072009";"547152500";"553910652";"569057686";"592312960";"609144000";"637629184";"670972928";"685462784"
"Borgerhout";"gemiddeld netto belastbaar inkomen per persoon";"9295,8524037";"9520,6654906";"9802,3252595";"9925,2849936";"10023,1921067";"10314,7143843";"10579,1437682";"11108,6433317";"11712,4818628";"11776,0287889"
"Borgerhout";"gemiddeld netto belastbaar inkomen per aangifte";"20045,4242408";"20280,046031";"20272,2662263";"20231,9736272";"19840,8681001";"20230,3575862";"20268,3545862";"20291,3756432";"20945,9847899";"21414,1049541"
"Borgerhout";"Doorsnee inkomen";"0";"0";"0";"0";"0";"16682";"16862";"16775";"17348";"17678"
"Borgerhout";"aantal aangiften";"18704";"19161";"19983";"20324";"21069";"21427";"22099";"23320";"24063";"23839"
"Borgerhout";"netto belastbaar inkomen (totaal)";"374929615";"388585962";"405100696";"411194632";"418027250";"433475872";"447910368";"473194880";"504023232";"510490848"
"Deurne";"gemiddeld netto belastbaar inkomen per persoon";"11350,4357651";"11855,7329101";"12140,3339589";"12319,6726883";"12522,4298023";"12906,2046235";"13283,1845093";"13865,5318472";"14414,5670131";"14464,6024536"
"Deurne";"gemiddeld netto belastbaar inkomen per aangifte";"22161,5321683";"22753,6204349";"22690,4528531";"22804,6678638";"22707,6903891";"22749,9641425";"23015,8384798";"23205,2723338";"23794,4081708";"23977,8974631"
"Deurne";"Doorsnee inkomen";"0";"0";"0";"0";"0";"18805";"19100";"19147";"19727";"20010"
"Deurne";"aantal aangiften";"35019";"35870";"37065";"37590";"38529";"39657";"40416";"42055";"43080";"43321"
"Deurne";"netto belastbaar inkomen (totaal)";"776074695";"816172365";"841021635";"857227465";"874904603";"902195328";"930208128";"975897728";"1025063104";"1038746496"
"Onbekend";"gemiddeld netto belastbaar inkomen per persoon";"x";"x";"401903,1557789";"269569,9684543";"161095,9128329";"45463,6067961";"x";"79283,047619";"66460,0762463";"x"
"Onbekend";"gemiddeld netto belastbaar inkomen per aangifte";"18591,1395076";"19325,8957421";"12937,3549013";"13618,1163347";"12603,260466";"20583,5230769";"18340,8168317";"14517,2228883";"18485,2251223";"18476,2095567"
"Onbekend";"Doorsnee inkomen";"0";"0";"0";"0";"0";"13301";"11973";"8550";"10803";"12395"
