"title";"description";"address";"gisx";"gisy";"image";"link"
"Okidoki";"";"Richard Baseleerstraat 113, 2020 Antwerpen";"4.3807348";"51.1903215";"http://www.antwerpen.be/pics/Stad/Bedrijven/Lerende_stad/LS_Staf/kinderopvang/emre handjes wassen okidoki.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8160482"
"Zonnetje Linkeroever";"";"Frederik Van Edenplein 3A, 2050 Antwerpen";"4.3871927";"51.2239265";"http://www.antwerpen.be/pics/Stad/Bedrijven/Lerende_stad/LS_Staf/kinderopvang/foto_zonnetje_LO.JPG";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8179815"
"OZ Kinderpret";"";"Herentalsebaan 209, 2100 Deurne";"4.4620233";"51.2088577";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8182789"
"Zonnetje Deurne \'De Pientere Piste\'";"";"Ruggeveldlaan 498, 2100 Deurne";"4.4820133";"51.2173210";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8098122"
"\'t Prinsesje";"";"Sint-Antoniusstraat 19, 2000 Antwerpen";"4.4002542";"51.2157785";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8125317"
"De VoorZorg Kinderdagverblijf Antwerpen";"";"Van der Sweepstraat 12, 2000 Antwerpen";"4.3857112";"51.2068150";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8160325"
"\'t Valaartuintje";"";"Letterkundestraat 171, 2610 Wilrijk";"4.3752580";"51.1779672";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039633"
"Sint-Jozef";"";"Mauroystraat 56, 2660 Hoboken";"4.3596925";"51.1804010";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039640"
"Speelhuis Elief";"";"Sint-Lambertusstraat 58, 2600 Berchem";"4.4203266";"51.1983018";"http://www.antwerpen.be/pics/Stad/Bedrijven/Lerende_stad/LS_Staf/kinderopvang/DSC_3714.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039822"
"Sint-Joanna";"";"Walemstraat 19, 2600 Berchem";"4.4194892";"51.1973689";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039623"
