"straatnaam";"huisnummer";"postcode";"type_papiermand";"opmerking";"datum_uitvoering";"uniek_nummer_papiermand";"opdracht_aan";"dc_cc";"hokje";"fase";"historiek_type";"sector";"ledigen";"point_lng";"point_lat"
"PROVINCIESTRAAT";"148";"2018";"05";"vroeger 1688";"2012-04-13T00:00:00";"9427";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4259488840000358";"51.213101726000048"
"LODE ZIELENSLAAN";"";"2050";"C";" ";"2012-03-27T00:00:00";"9297";"geen opdracht";"CC";"ja";"fase II";"";"midden";"stadsreiniging";"4.3819773310000301";"51.221783271000049"
"LANGE LOZANASTRAAT";"76";"2018";"05";"vroeger 1691";"2012-04-12T00:00:00";"9589";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4045203210000636";"51.204242638000039"
"GRAVINSTRAAT";"48";"3000";"05";" ";"2011-01-05T00:00:00";"9517";"geen opdracht";"CC";"ja";"fase II";"";"midden";"stadsreiniging";"4.4438159690000703";"51.21498153400006"
"LANGE LEEMSTRAAT";"34";"2018";"05";"vroeger 1826";"2012-04-16T00:00:00";"9456";"geen opdracht";"CC";"ja";"fase III";"01";"midden";"stadsreiniging";"4.4103544320000765";"51.209523347000072"
"GROTESTEENWEG";"154";"2600";"05";" ";"2009-11-29T00:00:00";"1243";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4200074460000565";"51.194662066000035"
"GROTESTEENWEG";"150";"2600";"05";" ";"2010-04-23T00:00:00";"1298";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4194197780000763";"51.195258416000058"
"GEMEENTESTRAAT";"32";"2060";"05";" ";"2010-06-03T00:00:00";"1781";"nieuw bijplaatsen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4204541820000713";"51.218971964000048"
"GEMEENTESTRAAT";"12";"2060";"05";"vroeger 1790";"2010-06-03T00:00:00";"2124";"nieuw bijplaatsen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4191905560000464";"51.219166106000046"
"FRANKLIN ROOSEVELTPLAATS";"";"2060";"05";"vroeger 1588";"2010-06-01T00:00:00";"1264";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4182351040000754";"51.219294282000078"
"AUGUST VAN DE WIELELEI";"";"2100";"01";" ";"";"";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.4965968620000467";"51.222837451000032"
"LOOSPLAATS";"plein";"2018";"05";" ";"2009-11-02T00:00:00";"0952";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4182437000000618";"51.210153044000037"
"QUINTEN MATSIJSLEI";"52";"2018";"05";" ";"2009-11-02T00:00:00";"0923";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4180296680000311";"51.210485834000053"
"VAN EYCKLEI";"48";"2018";"05";" ";"2009-11-02T00:00:00";"1005";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4174680740000554";"51.210117736000029"
"SIMONSSTRAAT";"58";"2018";"05";" ";"2009-11-02T00:00:00";"1061";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4215560120000532";"51.210687385000028"
"MERCATORSTRAAT";"8";"2018";"05";" ";"2009-11-02T00:00:00";"0970";"nieuw bijplaatsen";"nvt";"neen";"fase II";"";"midden";"stadsreiniging";"4.4216805490000297";"51.210424812000042"
"PLANTIN EN MORETUSLEI";"91";"2018";"05";" ";"2009-11-02T00:00:00";"1040";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4256335760000525";"51.210672515000056"
"PROVINCIESTRAAT";"241";"2018";"05";" ";"2009-11-02T00:00:00";"1063";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4257278060000544";"51.210407166000039"
"PLANTIN EN MORETUSLEI";"116";"2018";"05";" ";"2009-11-02T00:00:00";"0947";"nieuw bijplaatsen";"nvt";"neen";"fase II";"";"midden";"stadsreiniging";"4.4281540720000407";"51.209796152000081"
