"title";"description";"address";"gisx";"gisy";"image";"link"
"Politie NOORD - Noorderlaan";"";"Noorderlaan 500, 2030 Antwerpen";"4.3761525";"51.2685304";"http://www.antwerpen.be/pics/Politie/noord_noorderlaan.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=15736"
"Politie NOORD - Ekeren";"";"Veltwijcklaan 1, 2180 Ekeren";"4.4341751";"51.2810943";"http://www.antwerpen.be/pics/Politie/noord_ekeren.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=15737"
"Politie NOORD - Merksem";"";"Borrewaterstraat 1, 2170 Merksem";"4.4446562";"51.2404186";"http://www.antwerpen.be/pics/Politie/noord_borrewater.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=15738"
"Politie NOORD - Berendrecht";"";"Antwerpsebaan 142, 2040 Berendrecht";"4.3212058";"51.3443060";"http://www.antwerpen.be/pics/Politie/noord_berendrecht.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=15740"
"Politie ZUID - Wilrijk";"";"Kleinesteenweg 16, 2610 Wilrijk";"4.3909309";"51.1699419";"http://www.antwerpen.be/pics/Politie/zuid_wilrijk.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=15741"
"Politie ZUID - Hoboken";"";"Berkenrodelei 28, 2660 Hoboken";"4.3498902";"51.1783521";"http://www.antwerpen.be/pics/Politie/zuid_berkenrodelei.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=15742"
"Politie ZUID - Antwerpen";"";"Sint-Bernardsesteenweg 111, 2020 Antwerpen";"4.3836284";"51.1890846";"http://www.antwerpen.be/pics/Politie/zuid_bernardse.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=15744"
"Politie CITY - Handelstraat";"";"Handelsstraat 101, 2060 Antwerpen";"4.4310426";"51.2241201";"http://www.antwerpen.be/pics/Politie/city_handelsstraat.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=15745"
"Politie CENTRUM - Quinten Matsijslei";"";"Quinten Matsijslei 50, 2018 Antwerpen";"4.4177931";"51.2108035";"http://www.antwerpen.be/pics/Politie/centrum_quinten.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=15748"
"Politie CENTRUM - De Wittestraat";"";"De Wittestraat, 2600";"4.4149652";"51.1937215";"http://www.antwerpen.be/pics/Politie/Centrum_wittestraat.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=15749"
"Politie CENTRUM - Paleisstraat";"";"Paleisstraat 104, 2018 Antwerpen";"4.3978835";"51.2059234";"http://www.antwerpen.be/pics/Politie/centrum_paleis.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=15751"
"Politie OOST - Unolaan";"";"Unolaan 2, 2100";"4.4596103";"51.2182511";"http://www.antwerpen.be/pics/Politie/oost_unolaan.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=15752"
"Politie OOST - Lakborslei";"";"Lakborslei 200, 2100 Deurne";"4.4546668";"51.2274873";"http://www.antwerpen.be/pics/Politie/oost_lakborslei.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=15754"
"Politie WEST - Oudaan";"";"Oudaan 5, 2000 Antwerpen";"4.4036298";"51.2158470";"http://www.antwerpen.be/pics/Politie/west_oudaan.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=15756"
"Politie WEST - Halewijnlaan";"";"Halewijnlaan 84, 2050 Antwerpen";"4.3780642";"51.2248311";"http://www.antwerpen.be/pics/Politie/west_halewijn.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=15761"
"Politie OOST - Junostraat";"";"Junostraat 27, 2600 Berchem";"4.4416876";"51.1993442";"http://www.antwerpen.be/pics/Politie/teamoostcc00.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=19522"
