"title";"description";"address";"gisx";"gisy";"image";"link"
"CDO-Noord";"";"Bredastraat 35-37, 2060 Antwerpen";"4.4217824";"51.2327552";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=3007166"
"Stedelijk Instituut voor Handel en Ambachten (SIHA)";"Wie voor SIHA kiest, kiest voor kwaliteit en respect.
Met onze middenschool zorgen wij ervoor dat je vlot van de basisschool naar het secundair onderwijs overgaat
Vanaf de 2de graad is voor elk wat wils in SIHA. In alle opleidingen hecht SIHA belang aan actueel onderricht dat aanknoopt bij de realiteit van het hedendaagse berdijfsleven. Zoveel mogelijk leerlingen worden betrokken bij internationale contacten. SIHA legt de nadruk op talenkennis in de handelsafdelingen, op nuttige ervaring via stages en praktijklessen in de BSO-TSO opleidingen. Deze hebben ook een 7de specialisatiejaar. Veel afdelingen vinden direct aansluiting bij de havenactiviteiten van Antwerpen. Dat geldt zeker voor SIHA's TSO richting Handel en voor de BSO-afdeling Vrachtwagenchauffeur/Bijzonder Transport

Talent verdient een A! SIHA verdient talent!";"Eikenstraat 8, 2000 Antwerpen";"4.4103513";"51.2180883";"http://www.antwerpen.be/pics/Stad/Bedrijven/Lerende_stad/LS_Staf/studiewijzer/siha.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=3007298"
"Stedelijk Lyceum Deurne - Waterbaan";"Het Lyceum Deurne is een secundaire school met een zeer ruim onderwijsaanbod: een zesjarige humaniora ASO en diverse studiedomeinen TSO en BSO. We bieden kwaliteitsvol onderwijs met toekomstgerichte opleidingen en een sterk leerlinggerichte aanpak die ieders vaardigheden, kennis en kwaliteiten maximaal ontwikkelt. Extra aandacht voor de overgang van lager naar secundair onderwijs met Âleren lerenÂ met studietips, contractwerk, extra bijwerklessen, schoolloopbaanbegeleiding, tutoraat i.s.m. universiteit en hogescholen Antwerpen. Onze oud-leerlingen hebben een succesvolle carriÃ¨re uitgebouwd binnen de meest diverse domeinen van de samenleving.

In deze vestiging wordt de nadruk niet alleen gelegd op kennis en intellectuele vaardigheden maar ook op sociale competenties. Doordat de vestiging een beperkt aantal leerlingen heeft, heerst er een geborgen sfeer waar elke jongere een aangepaste begeleiding krijgt.";"Waterbaan 159, 2100 Deurne";"4.4627476";"51.2040533";"http://www.antwerpen.be/pics/Stad/Bedrijven/Lerende_stad/LS_Staf/studiewijzer/stedelijk lyceum.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=3007299"
"Stedelijke Middenschool De Beeldekens";"Middenschool De Beeldige Beeldekens is een kleine creatieve school, met als motto 'niemand uit beeld, iedereen in beeld', waar  een ervaren team van leerkrachten en leerlingbegeleiders de rugzakjes van alle leerlingen vult met leerstof, vaardigheden, attitudes en competenties. Samen gaan we op zoek naar ieders talenten. 
Door de nauwe samenwerking met de basisscholen uit de buurt vormt deze Brede school de ideale brug naar het vervolgonderwijs.
De Beeldige Beeldekens CarriÃ¨replanner helpt de leerling en zijn ouders de juiste studiekeuze te maken. 
De Beeldige Beeldekens Fair Play zorgt voor extra veel sport, spel en cultuur op school.";"Lange Beeldekensstraat 264, 2060 Antwerpen";"4.4341013";"51.2219228";"http://www.antwerpen.be/pics/Stad/Bedrijven/Lerende_stad/LS_Staf/studiewijzer/middenschooldebeeldekens.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=3007300"
"De Dames";"ÂGaudere et bene facereÂ, dit is de leuze van onze school.
Het betekent Âzich verheugen en de dingen goed doen!Â.
Een positieve kijk hebben op de zaken en als we aan een taak of een opdracht beginnen, doen we dit ook grondig. 
Met andere woorden: de kinderen, de leerkrachten en de ouders zijn gelukkig in onze school.
We willen degelijk onderwijs geven. Ook willen we, samen met de ouders, de kinderen helpen opgroeien tot flinke mensen waarop je kunt rekenen.";"Lange Nieuwstraat 74, 2000 Antwerpen";"4.4109323";"51.2194841";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=6001070"
"Onze-Lieve-Vrouwecollege";"";"Frankrijklei 91, 2000 Antwerpen";"4.4093263";"51.2120175";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=6001071"
"De Krokodil";"De Krokodil is een stukje kleuterparadijs gelegen in een gezellige stadsbuurt, warm ingesloten tussen de BelgiÃ«lei, de LamoriniÃ¨restraat en de Haringrodestraat.
Stap binnen op nummer 46, snoep van de kennisboom, luister naar onze lieve juffen, teken muziek in het zand en spring gaatjes in de lucht ...
In de majestueuze tuin vertellen bomen honderduit over multiculturele kabouters en elfjes.
In onze school, heerst een fijne leef- en werkcultuur met aandacht voor alle ontwikkelingsgebieden van uw kind. Er wordt onderwijs op maat gegeven zodat alle kinderen zich maximaal kunnen ontplooien.
Bent u nieuwsgierig naar onze school, geef een seintje en kom gerust eens langs!";"Gretrystraat 46, 2018 Antwerpen";"4.4171656";"51.2022994";"http://www.antwerpen.be/pics/Stad/Bedrijven/Lerende_stad/LS_Staf/studiewijzer/krokodil.JPG";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=6001072"
"Sint-Lievenscollege";"";"Kasteelpleinstraat 31, 2000 Antwerpen";"4.4015453";"51.2107474";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=6001073"
"Sint-Lievenscollege";"";"Kapucinessenstraat 28, 2000 Antwerpen";"4.4039439";"51.2111952";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=6001076"
"Villa Kakelverbond";"In onze school voelen alle kinderen zich thuis. Elk kind krijgt optimale kansen op emotioneel, lichamelijk en cultureel vlak. In alle leergebieden wordt gewerkt met de modernste methodes. Zo krijgen onze leerlingen de beste voorbereiding op de secundaire school. We maken regelmatig tijd voor museum- en theaterbezoek, extra uitstappen, muziekbeleving, interculturele en sportactiviteiten (binnen en buiten de schooluren). Onze lagere school werkt intensief aan: gedifferentieerd leren met hoeken- en contractwerk op maat van het kind, ICT met Diggimap en coÃ¶peratief leren. In ons kleuterschooltje wordt projectmatig gewerkt in een zeer toffe en huiselijke sfeer. Voor gezondheidsopvoeding wordt hier de basis gelegd. Wij hebben een zeer actieve oudervereniging waarin alle ouders welkom zijn.";"Verbondstraat 77, 2000 Antwerpen";"4.3990111";"51.2088492";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=6001127"
"Sint-Jan Berchmanscollege";"Sint-Jan is een basisschool voor jongens en meisjes vanaf de derde kleuterklas. We streven ernaar om de kinderen vanuit een rijke omgeving op een actieve wijze te laten groeien, zowel in sociale- als in basisvaardigheden. Op die manier reiken we hen een sleutel naar te toekomst aan.";"Jodenstraat 15, 2000 Antwerpen";"4.4074555";"51.2169072";"http://www.antwerpen.be/pics/Stad/Bedrijven/Lerende_stad/LS_Staf/studiewijzer/studiegebied/sintjanberchmans.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=6001129"
"Sint-Ludgardis";"";"Bervoetstraat 25, 2000 Antwerpen";"4.4019605";"51.2120688";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=6001492"
"Prins Dries";"Onze school biedt aandacht aan elk kind. Zo wordt er per leergebied rekening gehouden met het ÂkunnenÂ van ieder kind. Daarnaast krijgen hoogbegaafden aangepaste lessen (somplex, plustaak) in eigen klas en gaan ze naar de kangoeroeklas. We hechten veel belang aan muziek, cultuur en sport.";"Prinsstraat 24, 2000 Antwerpen";"4.4100220";"51.2222469";"http://www.antwerpen.be/pics/Stad/Bedrijven/Lerende_stad/LS_Staf/studiewijzer/prinsstraat.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=6001522"
"Prins Dries";"Wij vormen samen met de lagere school Ât Prinske Ã©Ã©n school - zorgzame, doelgerichte, kindvriendelijke aanpak Â kleinschalig Â familiale sfeer Â fijne kleuterjuffen Â gezellige speelplaats Â zwemmen in 3de kleuterklas Â gezamenlijke projecten met de lagere school Â ruime, gezellige, goed ingerichte lokalen Â goede voorbereiding op de lagere school Â feestzaal Â een warme thuis voor uw kind Â opvang van 7.30 u tot 17.30 in lagere school en tot 18 u in kleuterschool, ook op woensdag Â computerhoek in elke klas";"Dries 11, 2000 Antwerpen";"4.4031678";"51.2245702";"http://www.antwerpen.be/pics/Stad/Bedrijven/Lerende_stad/LS_Staf/studiewijzer/prinsstraat.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=6001537"
"Musica";"De Musica is een basisschool waar muziek in zit! Dit unieke project is 30 jaar geleden opgestart door 3 begeesterde onderwijzers van de school. Deze mensen hebben een leerlijn muziek en beweging uitgeschreven die geÃ¯nspireerd is op Kodaly en Orff. De kinderen van de Musica krijgen elke schooldag 25 minuten muziek gegeven door de eigen klasleerkracht. Dit is uniek in het Vlaamse onderwijslandschap. Een dag per week gaan de kinderen een uur naar de muziekklas om er te musiceren, liedjes te begeleiden op de Orffinstrumenten, te dansen of om creatief bezig te zijn met muziek. Deze lestijden muziek zitten ingepast in de vrije ruimte die elke school heeft om zijn accenten te leggen zonder dat de cognitieve vakken daardoor aan belang inboeten. Het welbevinden van ouders en kinderen staat in de Musica centraal: een gelukkig kind staat open voor nieuwe impulsen...";"Lange Riddersstraat 48, 2000 Antwerpen";"4.3966164";"51.2161609";"http://www.antwerpen.be/pics/Stad/Bedrijven/Lerende_stad/LS_Staf/studiewijzer/musica.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=6001552"
"Musica";"De Musica is een kleuterschool in het centrum van Antwerpen dichtbij de Kasteelpleinstraat. Er zijn 6 ruime, sfeervolle kleuterklassen met een hoog huiskamergehalte. De enthousiaste kleuterjuffen staan garant voor een probleemloze kleutertijd overgoten met een muzikaal sausje. Wil je graag meer weten? Bel dan gerust en maak een afspraak om eens langs te komen. Misschien tot dan ...";"Bervoetstraat 31, 2000 Antwerpen";"4.4021864";"51.2120498";"http://www.antwerpen.be/pics/Stad/Bedrijven/Lerende_stad/LS_Staf/studiewijzer/musica.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=6001561"
"Via Louiza";"In onze school voelen alle kinderen zich thuis. Elk kind krijgt optimale kansen op emotioneel, lichamelijk en cultureel vlak. In alle leergebieden wordt gewerkt met de modernste methodes. Zo krijgen onze leerlingen de beste voorbereiding op de secundaire school. We maken regelmatig tijd voor museum- en theaterbezoek, extra uitstappen, muziekbeleving, interculturele en sportactiviteiten (binnen en buiten de schooluren). Onze lagere school werkt intensief aan: gedifferentieerd leren met hoeken- en contractwerk op maat van het kind, ICT met Diggimap en coÃ¶peratief leren. In ons kleuterschooltje wordt projectmatig gewerkt in een zeer toffe en huiselijke sfeer. Voor gezondheidsopvoeding wordt hier de basis gelegd. Wij hebben een zeer actieve oudervereniging waarin alle ouders welkom zijn.";"Louizastraat 17, 2000 Antwerpen";"4.4050467";"51.2115973";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=6001566"
"De Kleine Jacob";"We zijn een kleinschalig, familiaal, intercultureel schooltje met de klemtoon op respect, verbondenheid en zich mee-verantwoordelijk voelen. We hebben een sterk uitgewerkte peter- en meterwerking. Klein leert van groot en groot leert van klein. 
De prioriteiten in onze schoolwerking zijn werkhouding, zelfsturing, klasdoorbrekend werken met projecten, sociale en relationele vaardigheden, samen school maken.";"Frans Halsplein 43, 2000 Antwerpen";"4.4121018";"51.2214184";"http://www.antwerpen.be/pics/Stad/Bedrijven/Lerende_stad/LS_Staf/studiewijzer/kleinejacob.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=6001573"
"Sint-Norbertusinstituut";"Proefondervindelijk leren. Werken met hoofd, hart en handen. Computervaardig. We zorgen voor een goede conditie. Permanente begeleiding van CLB, schoollogopediste, het ganse schoolteam. De vestiging in de Amerikalei biedt alleen lager onderwijs.";"Paleisstraat 48, 2018 Antwerpen";"4.4003740";"51.2070382";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=6001590"
"Afrit Zuid";"De school bevindt zich op het bruisende Antwerpse Zuid en bestaat uit 3 locaties: in de Graaf Van Egmontstraat zitten 5 kleutergroepen, in de Kronenburgstraat is de lagere school gevestigd.
We zijn een kleinschalige, familiale buurtschool, waar kinderen zich echt thuisvoelen. Actief leren en veel bewegen is bij ons de boodschap. Zo kunnen we samen groeien op een respectvolle en plezierige manier.";"Kronenburgstraat 30, 2000 Antwerpen";"4.3944092";"51.2123815";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=6001599"
