title;address;gisx;gisy
CDO-Noord;Bredastraat 35-37, 2060 Antwerpen;4.4217824;51.2327552
Stedelijk Instituut voor Handel en Ambachten (SIHA);Eikenstraat 8, 2000 Antwerpen;4.4103513;51.2180883
Stedelijk Lyceum Deurne - Waterbaan;Waterbaan 159, 2100 Deurne;4.4627476;51.2040533
Stedelijke Middenschool De Beeldekens;Lange Beeldekensstraat 264, 2060 Antwerpen;4.4341013;51.2219228
De Dames;Lange Nieuwstraat 74, 2000 Antwerpen;4.4109323;51.2194841
Onze-Lieve-Vrouwecollege;Frankrijklei 91, 2000 Antwerpen;4.4093263;51.2120175
De Krokodil;Gretrystraat 46, 2018 Antwerpen;4.4171656;51.2022994
Sint-Lievenscollege;Kasteelpleinstraat 31, 2000 Antwerpen;4.4015453;51.2107474
Sint-Lievenscollege;Kapucinessenstraat 28, 2000 Antwerpen;4.4039439;51.2111952
Villa Kakelverbond;Verbondstraat 77, 2000 Antwerpen;4.3990111;51.2088492
Sint-Jan Berchmanscollege;Jodenstraat 15, 2000 Antwerpen;4.4074555;51.2169072
Sint-Ludgardis;Bervoetstraat 25, 2000 Antwerpen;4.4019605;51.2120688
Prins Dries;Prinsstraat 24, 2000 Antwerpen;4.4100220;51.2222469
Prins Dries;Dries 11, 2000 Antwerpen;4.4031678;51.2245702
Musica;Lange Riddersstraat 48, 2000 Antwerpen;4.3966164;51.2161609
Musica;Bervoetstraat 31, 2000 Antwerpen;4.4021864;51.2120498
Via Louiza;Louizastraat 17, 2000 Antwerpen;4.4050467;51.2115973
De Kleine Jacob;Frans Halsplein 43, 2000 Antwerpen;4.4121018;51.2214184
Sint-Norbertusinstituut;Paleisstraat 48, 2018 Antwerpen;4.4003740;51.2070382
Afrit Zuid;Kronenburgstraat 30, 2000 Antwerpen;4.3944092;51.2123815
Afrit Zuid;Graaf Van Egmontstraat 18, 2000 Antwerpen;4.3941063;51.2114660
Steinerschool Antwerpen Basisscholen;Scheldestraat 62, 2000 Antwerpen;4.3952887;51.2114048
De Wereldreiziger;Quellinstraat 31, 2018 Antwerpen;4.4162058;51.2163119
De Brug;Grotebeerstraat 31, 2018 Antwerpen;4.4277531;51.2071465
Sint-Ludgardis Belpaire;Haantjeslei 50-52, 2018 Antwerpen;4.3990686;51.2030246
De Kolibrie;Markgravelei 149, 2018 Antwerpen;4.4064810;51.1966918
Alberreke;Albertstraat 24, 2018 Antwerpen;4.4151025;51.2052586
Crea 16;Grotehondstraat 50-52, 2018 Antwerpen;4.4298388;51.2059845
De Krekel;Provinciestraat 110, 2018 Antwerpen;4.4257296;51.2143834
De Kleine Wereld;Belegstraat 62, 2018 Antwerpen;4.3962939;51.2045094
De Kleine Beer;Molenstraat 24, 2018 Antwerpen;4.4061296;51.2072075
De Gele Ballon;Lamorinierestraat 93, 2018 Antwerpen;4.4217116;51.2048790
De Spiegel;Belgielei 99, 2018 Antwerpen;4.4182958;51.2058037
De Wereldschool;Brederodestraat 119, 2018 Antwerpen;4.3937413;51.2032694
Heilig Hart;Isabellalei 107, 2018 Antwerpen;4.4183294;51.2032966
Yavne;Lamorinierestraat 150, 2018 Antwerpen;4.4206207;51.2036878
De Zonnebloem;Van Trierstraat 28, 2018 Antwerpen;4.4014786;51.2007176
Sint-Jozefinstituut;Jacob Jordaensstraat 75-77, 2018 Antwerpen;4.4139521;51.2085055
Leefschool De Dageraad;Lange Altaarstraat 4, 2018 Antwerpen;4.4324994;51.2075621
VIB Jesode-Hatora;Lange Van Ruusbroecstraat 12-34, 2018 Antwerpen;4.4257417;51.2076857
Sint-Norbertusinstituut;Hertsdeinstraat 25, 2018 Antwerpen;4.3986449;51.2036610
Experimentele basisschool Vita et Pax (Montessori);Breughelstraat 19, 2018 Antwerpen;4.4151296;51.2083093
Steinerkleuterschool De Hazelaar;Lange Lozanastraat 117, 2018 Antwerpen;4.4054276;51.2027884
Benoth Jerusalem;Van Immerseelstraat 29, 2018 Antwerpen;4.4231471;51.2123849
Wiznitz;Belgielei 1, 2018 Antwerpen;4.4198387;51.2072673
Expo 34;Pestalozzistraat 5, 2020 Antwerpen;4.3909715;51.1866839
De Blokkendoos;Van Peenestraat 4, 2020 Antwerpen;4.3755551;51.1899470
\'t Zwaantje;Krugerstraat 26, 2660 Hoboken;4.3709255;51.1826341
De Piramide;Pierenbergstraat 33, 2020 Antwerpen;4.3811647;51.1887880
De Kameleon;Constant Permekestraat 2, 2020 Antwerpen;4.3824040;51.1900210
