"objectid_1";"dossier_nummer";"naam";"straatnaam";"locatie";"postcode";"district";"status";"reguliere_ophaling";"budgetjaar";"realisatie";"point_lng";"point_lat"
"1";"2011220";"DUINSTRAAT";"Geelhandplaats";"binnenplein";"2060";"Antwerpen";"6.  Uitgesteld";"nee";"2050";"2050";"4.430183851000038";"51.222920667000039"
"2";"2011172";"VISÃSTRAAT - 12";"VisÃ©straat";"12";"2060";"Antwerpen";"5.  Gevraagd";"ja";"2020";"2020";"4.4246119240000326";"51.229028210000081"
"3";"2011169";"VISÃSTRAAT - 80";"VisÃ©straat";"80";"2060";"Antwerpen";"5.  Gevraagd";"ja";"2020";"2020";"4.4291333020000252";"51.228083799000046"
"4";"2011126";"JOS VERHELSTPLEIN";"Jos Verhelstplein";"1";"2060";"Antwerpen";"5.  Gevraagd";"ja";"2014";"2014";"4.4326784490000364";"51.227715133000061"
"5";"2011071";"Handelsstraat - Lange_Stuivenberstraat";"Handelsstraat";"1";"2060";"Antwerpen";"5.  Gevraagd";"Ja";"2012";"2012";"4.4316228140000362";"51.224305523000055"
"6";"2011064";"Helmstraat";"Helmstraat";"hoek Schapenstraat";"2140";"Borgerhout";"5.  Gevraagd";"Ja";"2011";"2011";"4.4359829520000744";"51.218035309000072"
"7";"2011075";"Vincottestraat";"Vincottestraat";"1 - 11";"2140";"Borgerhout";"6.  Uitgesteld";"Ja";"2012";"2012";"4.4374284010000338";"51.215618150000068"
"8";"2011183";"Waterhoenlaan";"Waterhoenlaan";"6";"2050";"Antwerpen";"5.  Gevraagd";"nee";"2020";"2020";"4.3817973020000522";"51.22115007900004"
"9";"2011184";"Victor_De_La_Montagnestraat";"Victor De la Montagnestraat";"18";"2050";"Antwerpen";"5.  Gevraagd";"nee";"2020";"2020";"4.3789034880000486";"51.222770771000057"
"10";"2011079";"IGLO";"Carel Van Manderstraat";"2";"2050";"Antwerpen";"4.  In Onderzoek";"nee";"2013";"2013";"4.3833187790000352";"51.224345910000068"
