"id";"naam";"straat";"huisnummer";"postcode";"district";"begindatum";"toestellen";"financiering";"opmerking";"x_coord";"y_coord";"point_lng";"point_lat"
"AN/00/01";"Waterpoortpark";"Vlaamsekaai";"over 71";"2000";"ANTWERPEN";"1995-01-01T00:00:00";"";"Boven lokaal";"Heraanleg in 11/2011";"151288.111";"210840.45800000001";"4.387195398000074";"51.20752691000007"
"AN/00/05";"Regenboogpark";"Waalsekaai";"over 33";"2000";"ANTWERPEN";"2007-05-02T00:00:00";"";"Lokaal";"Grondwerken uitgevoerd door Verbruggen";"151679.09099999999";"211347.88099999999";"4.3927924820000612";"51.212086783000075"
"AN/00/02";"Sint Andriesplaats";"Sint-Andriesplaats";"17";"2000";"ANTWERPEN";"2011-04-04T00:00:00";"";"Lokaal";"";"151957.73999999999";"211678.43799999999";"4.3967819810000606";"51.215057048000062"
"AN/00/06";"Prekerstraat";"Prekersstraat";"achter 8";"2000";"ANTWERPEN";"1995-01-01T00:00:00";"";"Lokaal";"Heraanleg voorzien 2011";"151861.65400000001";"211538.63399999999";"4.3954060930000765";"51.213800764000041"
"AN/00/03";"Zirkstraat";"Zirkstraat";"over 21";"2000";"ANTWERPEN";"1996-01-01T00:00:00";"";"Lokaal";"";"152226.679";"212558.652";"4.4006365290000531";"51.222967750000066"
"AN/03/09";"Casimiro";"Noorderlaan";"";"2030";"ANTWERPEN";"2005-03-24T00:00:00";"";"Lokaal";"";"153643.45199999999";"215278.747";"4.4209441550000292";"51.247409474000051"
"BZ/04/04";"Hagelbergbos";"Hagelberg";"over 5";"2040";"BEZALI";"2000-05-01T00:00:00";"";"Lokaal";"";"147048.783";"226187.63";"4.3264125950000221";"51.345464823000043"
"BZ/04/07";"Heiblokken";"Heiblokken";"naast 8";"2040";"BEZALI";"2000-12-01T00:00:00";"";"Lokaal";"";"147877.46299999999";"226430.459";"4.3383041410000374";"51.347650876000046"
"AN/05/11";"Multatuliplein";"Multatuliplein";"";"2050";"ANTWERPEN";"2000-04-01T00:00:00";"";"Lokaal";"";"151103.63200000001";"212520.807";"4.3845611850000523";"51.222631000000035"
"AN/05/09";"Seniorencentrum";"Blancefloerlaan";"9";"2050";"ANTWERPEN";"1999-01-01T00:00:00";"";"Lokaal";"";"148706.61600000001";"212511.976";"4.3502507370000671";"51.222551604000046"
"AN/05/08";"Constantijn Huygensstraat";"Constantijn Huygensstraat";"over 2";"2050";"ANTWERPEN";"1998-01-01T00:00:00";"";"Lokaal";"";"151340.954";"213676.72500000001";"4.3879627370000662";"51.233020282000041"
"AN/05/01";"Robinsontuin";"Kastanjedreef";"22";"2050";"ANTWERPEN";"1996-01-01T00:00:00";"";"Boven lokaal";"";"151388.413";"213893.486";"4.3886430930000415";"51.234968486000071"
