"title";"description";"address";"gisx";"gisy";"image";"link"
"Sporthal Kiel - Antwerpen";"U kunt in deze sporthal terecht voor atletiek, badminton, basketbal, gehandicaptensport, handbal, korfbal, turnen, volleybal en zaalvoetbal.";"Emiel Vloorsstraat, 2020 Antwerpen";"4.3760488";"51.1934049";"http://www.antwerpen.be/pics/Stad/Bedrijven/Cultuur_sport_recreatie/CS_Sport/Infrastructuur/Kiel-7282.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=1848"
"Sporthal Luchtbal - Antwerpen";"U kunt in deze sporthal terecht voor badminton, baseball, basketbal, handbal, korfbal, volleybal en zaalvoetbal.";"Santiagostraat 2, 2030 Antwerpen";"4.4218112";"51.2489371";"http://www.antwerpen.be/pics/Stad/Bedrijven/Cultuur_sport_recreatie/CS_Sport/Infrastructuur/Luchtbal-7326.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=1854"
"Zwembad Wezenberg - Antwerpen";"Troeven: 50-meterzwembad, instructiebad (20 op 17 meter), geschikt voor sportieve (baantjes)zwemmers.";"Desguinlei 17-19, 2018 Antwerpen";"4.4011096";"51.1948394";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=2801"
"Zwembad Veldstraat - Antwerpen";"Troeven: 33-meterbad, badenhuis (twee kruidenbaden, koud dompelbad, heet waterbad, rustruimte, klein zwembad), hammam, turn-danszaal.";"Veldstraat 83, 2060 Antwerpen";"4.4332727";"51.2267545";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=2854"
"Sportcentrum Het Rooi - Berchem";"Dit sportcentrum bestaat uit een sporthal waar u terecht kunt voor badminton, basketbal, handbal, korfbal, tennis, volleybal, zaalvoetbal, een turnzaal (turnen, tafeltennis, schermen) en een gevechts- en danszaal (gevechtssporten, dans, conditieturnen).";"Berchemstadionstraat 73, 2600 Berchem";"4.4381524";"51.1884406";"http://www.antwerpen.be/pics/Stad/Bedrijven/Cultuur_sport_recreatie/CS_Sport/Infrastructuur/jc_as_hetrooi_01.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=2861"
"Sportcentrum Het Rooi (Berchem)";"U kunt hier terecht voor een atletiekpiste (400 m), vijf voetbalvelden en twee petanquebanen.";"Berchemstadionstraat 73, 2600 Berchem";"4.4381524";"51.1884406";"http://www.antwerpen.be/pics/Stad/Bedrijven/Cultuur_sport_recreatie/CS_Sport/Infrastructuur/Het_Rooi_atletiekpiste.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=2866"
"Zwembad Groenenhoek - Berchem";"Troeven: 25-meterzwembad, instructiebad 14 op 9 meter, geschikt voor scholen en clubs";"Orpheusplein 1, 2600 Berchem";"4.4420011";"51.1987466";"http://www.antwerpen.be/pics/Stad/Bedrijven/Cultuur_sport_recreatie/CS_Sport/Infrastructuur/2012_nieuwe_openingsuren_zwembaden.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=2879"
"Sportcentrum Plantin Moretus-Borgerhout";"U kunt in deze sporthal terecht voor badminton, baseball, basketbal, gehandicaptensport, handbal, korfbal, tennis, volleybal en zaalvoetbal.";"Plantin en Moretuslei 343, 2140 Borgerhout";"4.4363133";"51.2088572";"http://www.antwerpen.be/pics/Stad/Bedrijven/Cultuur_sport_recreatie/CS_Sport/Infrastructuur/jc_as_plantinmoretus_01.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=2882"
"Sporthal Luisbekelaar - Borgerhout";"U kunt in deze sporthal terecht voor badminton, basketbal, handbal, korfbal, tennis, volleybal en zaalvoetbal. Daarnaast is er ook een annexzaal voor turnen, yoga, figuurcorrectie en gevechtssporten, een gevechtszaal met tatamivloer (gevechtssporten) en een tweede annexzaal (turnen, conditietraining, tafeltennis en gevechtssporten).";"Luisbekelaar, 2140 Borgerhout";"4.4453605";"51.2053133";"http://www.antwerpen.be/pics/Stad/Bedrijven/Cultuur_sport_recreatie/CS_Sport/Infrastructuur/jc_as_luisbekelaar_01.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=2886"
"Zwembad Plantin Moretus - Borgerhout";"Troeven: 25-meterzwembad, instructiebad 14 op 9 meter, voorzieningen voor gehandicapten";"Plantin en Moretuslei 343, 2140 borgerhout";"4.4363133";"51.2088572";"http://www.antwerpen.be/pics/Stad/Bedrijven/Cultuur_sport_recreatie/CS_Sport/Infrastructuur/2012_nieuwe_openingsuren_zwembaden.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=2905"
